Date,7y8y,10y12y,25y30y,20y25y,3y4y5y,5y7y10y,10y12y15y,20y25y30y
2023-07-21,,,,,,,,
2023-07-24,,,,,,,,
2023-07-25,,,,,,,,
2023-07-26,,,,,,,,
2023-07-27,,,,,,,,
2023-07-28,,,,,,,,
2023-07-31,,,,,,,,
2023-08-01,,,,,,,,
2023-08-02,,,,,,,,
2023-08-03,,,,,,,,
2023-08-04,,,,,,,,
2023-08-07,,,,,,,,
2023-08-08,,,,,,,,
2023-08-09,,,,,,,,
2023-08-10,,,,,,,,
2023-08-11,,,,,,,,
2023-08-14,,,,,,,,
2023-08-15,,,,,,,,
2023-08-16,,,,,,,,
2023-08-17,,,,,,,,
2023-08-18,,,,,,,,
2023-08-21,,,,,,,,
2023-08-22,,,,,,,,
2023-08-23,,,,,,,,
2023-08-24,,,,,,,,
2023-08-25,,,,,,,,
2023-08-28,,,,,,,,
2023-08-29,,,,,,,,
2023-08-30,,,,,,,,
2023-08-31,,,,,,,,
2023-09-01,0.5238187834615542,0.6111577395727998,0.5195043168159573,0.5621902596654412,0.5213055530862231,0.7287417606027572,0.21848733807903634,0.23272604633539942
2023-09-05,0.516534906119026,0.6044457188007978,0.5132557625519618,0.5527705181866848,0.5146371404528607,0.7212854226083337,0.21770359571613598,0.2331427223837902
2023-09-06,0.5126352419667156,0.6096848827876045,0.5242597589679907,0.5477910458759833,0.5064921129456997,0.7099443324089694,0.21572260344150007,0.24129201138638956
2023-09-07,0.5259867049041975,0.6366587583263009,0.5535797700650111,0.5578497264955313,0.4992684359458736,0.699416525229127,0.22730156167225815,0.2443075368469236
2023-09-08,0.5253538329939218,0.6369295407643617,0.5596370685270733,0.5599382066585559,0.49246612091027175,0.6896937456941056,0.22955336193752976,0.24126054366762414
2023-09-11,0.5415488192707928,0.6452360744044858,0.5611691452016966,0.5645872243177436,0.4853275682921358,0.6803196704986567,0.22818390414021103,0.23820177916711963
2023-09-12,0.5557666503255076,0.6534547302590465,0.5673835056092736,0.573366606309094,0.47854932149130097,0.6709980509769764,0.23081128630074557,0.23506369831457502
2023-09-13,0.5653944096311886,0.6671938673607442,0.5664962672557221,0.5702496260967155,0.4727397718217185,0.6627293938301735,0.23423921274280324,0.23222728564756992
2023-09-14,0.5578978794762732,0.6627985682320798,0.5590618276030874,0.5625027082030407,0.47452444145372247,0.6572101825056291,0.23106833289803186,0.23004152209828033
2023-09-15,0.550574046346174,0.6546054598219373,0.5558763330003643,0.5629278481640898,0.49170367225626693,0.6639643169203127,0.23257476201732663,0.22841928249334603
2023-09-18,0.5442210691483068,0.6478801302259156,0.5588370224304996,0.5687785327324361,0.5018417288194548,0.6783361153626708,0.23774901038563107,0.22600362530110626
2023-09-19,0.5408920128825287,0.6465803847140552,0.552182296151931,0.5630990625619523,0.5089480366410926,0.6759087123416362,0.23493818000448793,0.22409013357544252
2023-09-20,0.5581170428285203,0.6789590673522108,0.5532580264919568,0.5773845548387245,0.5236280212151593,0.6796942406015057,0.2323626408287431,0.22989445642568318
2023-09-21,0.583232083816062,0.7108466738759852,0.556824459055281,0.5967899009064361,0.5354831944657209,0.6849489709027133,0.23158537975017252,0.23745627542105666
2023-09-22,0.6271004324630247,0.7317927188490907,0.5522385955624325,0.6007589235935427,0.5446617420653603,0.6962999177957023,0.22937472032092066,0.24435495918926
2023-09-25,0.6259102414748651,0.7234645184634871,0.5475638430656665,0.5942601783262553,0.554836357339526,0.6956136572152212,0.22677707125989957,0.24250966219492534
