Tenor,spread_3m_10y,spread_9m_1y,spread_9m_18m,spread_9m_2y,fly_1m_3m_6m,fly_1y_18m_2y,fly_18m_2y_3y,fly_2y_3y_5y,fly_5y_7y_10y,fly_10y_12y_15y,fly_12y_15y_20y
2023-08-16,-406.9999999999999,-54.75000000000003,-120.0000000000001,-184.5000000000001,-23.89999999999972,0.7500000000000284,23.00000000000004,11.99999999999992,5.000000000000071,-5.19999999999996,2.399999999999913
2023-08-17,-397.5000000000001,-55.75000000000001,-122.75,-185.9999999999999,-24.09999999999997,3.749999999999964,23.24999999999982,13.29999999999991,3.299999999999947,-4.499999999999993,1.500000000000057
2023-08-18,-395.7499999999999,-55.49999999999997,-123.1999999999999,-185.0,-26.99999999999996,5.899999999999928,20.8000000000002,13.19999999999997,1.700000000000124,-3.249999999999886,0.0
2023-08-21,-388.5000000000001,-56.49999999999995,-124.5,-187.7499999999999,-23.00000000000004,4.750000000000121,21.99999999999989,13.00000000000008,2.249999999999908,10.99999999999994,-5.499999999999972
2023-08-22,-388.7499999999999,-56.7499999999999,-125.2499999999999,-188.5,-28.00000000000011,5.250000000000021,22.25000000000001,11.99999999999992,3.250000000000064,1.500000000000057,-5.499999999999972
2023-08-23,-398.0000000000001,-59.49999999999997,-131.4999999999999,-195.0,-26.50000000000006,8.499999999999908,21.50000000000016,11.50000000000002,6.49999999999995,-3.749999999999964,2.500000000000036
2023-08-24,-394.9999999999999,-61.00000000000003,-133.2500000000001,-193.5000000000001,-26.00000000000016,11.99999999999992,18.2500000000001,9.999999999999964,4.499999999999993,-2.999999999999936,0.999999999999801
2023-08-25,-392.5000000000001,-60.99999999999994,-135.4999999999999,-193.9999999999999,-25.4999999999999,16.00000000000001,15.00000000000004,13.19999999999997,3.200000000000003,-4.000000000000092,4.499999999999993
2023-08-28,-382.5,-62.74999999999995,-137.0,-195.0,-17.30000000000018,16.24999999999996,15.49999999999994,12.80000000000001,2.299999999999969,10.74999999999999,1.77635683940025e-13
2023-08-29,-386.0000000000001,-59.99999999999996,-134.5,-193.5,-23.99999999999984,15.49999999999994,17.49999999999989,8.999999999999986,4.999999999999893,-1.500000000000057,0.0
2023-08-30,-388.4999999999999,-59.00000000000007,-135.5000000000001,-196.0,-27.49999999999986,16.00000000000001,18.99999999999995,11.50000000000002,4.499999999999993,-4.499999999999993,7.500000000000107
2023-08-31,-379.2499999999999,-56.99999999999994,-130.8,-188.5,-25.9999999999998,16.09999999999996,16.69999999999998,10.50000000000004,4.749999999999943,-1.750000000000185,3.000000000000114
2023-09-01,-379.5,-57.00000000000003,-128.0,-187.0,-27.49999999999986,12.0000000000001,17.50000000000007,11.99999999999992,7.000000000000028,-1.999999999999957,0.0
2023-09-04,-380.5000000000001,-57.00000000000003,-127.8,-186.7500000000001,-28.50000000000001,11.84999999999992,17.20000000000006,12.25000000000005,6.49999999999995,-6.500000000000128,8.000000000000007
2023-09-05,-378.9999999999999,-58.00000000000001,-127.0,-181.5,-35.59999999999981,14.49999999999996,13.49999999999998,10.99999999999994,4.499999999999993,-6.749999999999901,6.49999999999995
2023-09-06,-378.2499999999999,-55.99999999999996,-129.75,-187.5,-29.49999999999982,16.00000000000019,18.2500000000001,5.999999999999872,3.250000000000064,-3.249999999999886,-1.500000000000057
2023-09-07,-378.2500000000001,-54.25000000000004,-128.7000000000001,-188.2500000000001,-28.80000000000038,14.90000000000009,19.05000000000019,8.24999999999978,3.500000000000014,-2.999999999999936,3.999999999999915
2023-09-08,-382.5,-54.0,-126.75,-183.0,-28.50000000000001,16.49999999999991,13.74999999999993,14.25000000000001,2.749999999999986,-2.699999999999925,3.40000000000007
2023-09-11,-388.5,-54.0,-127.7,-186.0,-28.00000000000011,15.39999999999999,16.79999999999993,9.999999999999964,2.000000000000135,-15.49999999999994,10.99999999999994
2023-09-12,-388.75,-54.0,-126.5,-187.5,-30.49999999999997,11.50000000000002,17.00000000000017,13.70000000000005,2.200000000000024,-2.700000000000102,3.40000000000007
2023-09-13,-390.4999999999999,-53.50000000000001,-125.5,-188.5,-28.99999999999991,8.999999999999986,18.99999999999995,13.20000000000014,1.200000000000045,-2.500000000000036,3.499999999999837
2023-09-14,-383.7500000000001,-51.99999999999996,-122.5,-183.0,-28.50000000000037,9.999999999999964,16.00000000000001,13.00000000000008,1.999999999999957,-1.499999999999879,2.500000000000036
2023-09-15,-377.9999999999999,-50.50000000000008,-118.5000000000001,-179.5000000000001,-22.00000000000024,7.000000000000028,16.50000000000009,10.74999999999982,3.749999999999964,0.0,-0.4999999999999005
2023-09-18,-377.9999999999999,-50.50000000000008,-118.5000000000001,-179.5000000000001,-22.00000000000024,7.000000000000028,16.50000000000009,10.74999999999982,3.749999999999964,0.0,-0.4999999999999005
2023-09-19,-377.9999999999999,-50.50000000000008,-118.5000000000001,-179.5000000000001,-22.00000000000024,7.000000000000028,16.50000000000009,10.74999999999982,3.749999999999964,0.0,-0.4999999999999005
2023-09-20,-371.5,-48.50000000000003,-114.25,-174.0,-19.00000000000013,5.999999999999872,14.75000000000009,9.750000000000014,1.750000000000007,6.00000000000005,0.5000000000000782
2023-09-21,-360.51,-50.99999999999998,-107.9999999999999,-168.0,-14.99999999999986,-3.000000000000114,16.50000000000009,8.000000000000007,2.490000000000059,-3.509999999999991,3.500000000000014
2023-09-22,-353.9999999999999,-48.50000000000003,-102.0,-160.5000000000001,-13.29999999999991,-5.000000000000071,14.00000000000006,11.49999999999984,4.000000000000092,-0.4999999999999005,-2.999999999999936
2023-09-25,-339.4999999999999,-46.0,-98.49999999999994,-155.5,-10.49999999999969,-4.499999999999993,16.24999999999996,11.99999999999992,4.499999999999815,22.19999999999995,-12.90000000000013
2023-09-26,-329.7500000000001,-46.99999999999997,-100.5,-155.0,-10.99999999999994,-0.9999999999999787,16.00000000000001,12.5,4.499999999999993,-0.9999999999999787,-1.499999999999879
2023-09-27,-329.7500000000001,-44.75000000000007,-98.00000000000004,-154.5000000000001,-17.50000000000007,-3.250000000000064,19.50000000000003,9.70000000000013,1.950000000000074,-2.249999999999908,1.999999999999957
2023-09-28,-328.7499999999999,-44.50000000000003,-97.00000000000006,-154.0000000000001,-16.49999999999991,-4.499999999999993,17.99999999999997,13.00000000000008,3.750000000000142,-0.2499999999999503,-0.9999999999999787
2023-09-29,-329.5000000000001,-44.00000000000004,-96.49999999999999,-154.5,-12.00000000000045,-5.500000000000149,18.50000000000005,10.99999999999994,5.249999999999844,-2.750000000000163,1.999999999999957
2023-10-02,-316.9999999999999,-41.00000000000001,-92.8,-149.25,-7.999999999999829,-4.649999999999999,18.69999999999994,11.74999999999997,6.49999999999995,-4.750000000000121,4.500000000000171
2023-10-03,-307.9999999999999,-39.50000000000004,-90.30000000000004,-146.5000000000001,-8.599999999999852,-5.400000000000027,18.20000000000004,12.9999999999999,5.999999999999872,-4.699999999999882,2.899999999999991
2023-10-04,-314.0000000000001,-41.5,-92.49999999999999,-149.0,-7.500000000000284,-5.500000000000149,17.75000000000002,11.50000000000002,0.9999999999999787,-2.000000000000135,0.5000000000000782
2023-10-05,-312.2499999999999,-43.50000000000005,-95.00000000000001,-149.7500000000001,-10.69999999999993,-3.250000000000064,19.00000000000013,7.000000000000028,-0.9999999999999787,-3.000000000000114,0.7500000000000284
2023-10-06,-309.5,-40.50000000000003,-93.99999999999994,-147.0,-8.999999999999986,0.4999999999999005,16.50000000000009,6.700000000000017,0.6999999999999673,-4.499999999999993,1.999999999999957
2023-10-09,-309.5,-40.50000000000003,-93.99999999999994,-147.0,-8.999999999999986,0.4999999999999005,16.50000000000009,6.700000000000017,0.6999999999999673,-4.499999999999993,1.999999999999957
2023-10-10,-321.5000000000001,-39.75,-91.24999999999997,-151.0,-16.60000000000004,-8.250000000000135,23.24999999999999,6.49999999999995,-0.2499999999999503,-3.250000000000064,1.750000000000007
2023-10-11,-328.0000000000001,-39.25000000000001,-94.20000000000002,-151.5000000000001,-17.50000000000043,-2.35000000000003,20.30000000000012,6.799999999999784,2.799999999999869,-7.750000000000057,4.500000000000171
2023-10-12,-322.5000000000001,-36.50000000000002,-90.74999999999997,-149.5,-19.50000000000003,-4.499999999999993,20.75000000000014,6.500000000000128,5.250000000000021,-4.000000000000092,1.500000000000057
2023-10-13,-318.25,-36.50000000000002,-90.50000000000003,-150.0,-13.50000000000016,-5.499999999999972,21.00000000000009,5.749999999999922,6.25,-4.499999999999993,4.499999999999993
2023-10-16,-307.0,-34.49999999999997,-87.30000000000003,-144.0,-17.99999999999997,-3.89999999999997,16.69999999999998,7.499999999999929,7.499999999999929,-4.499999999999993,0.0
2023-10-17,-292.5000000000001,-29.49999999999999,-76.29999999999998,-134.25,-21.00000000000009,-11.14999999999995,21.70000000000005,3.249999999999886,6.00000000000005,-2.699999999999925,-1.100000000000101
2023-10-18,-284.7499999999999,-29.49999999999999,-74.2,-130.0,-20.49999999999983,-11.09999999999989,15.79999999999995,4.799999999999827,3.800000000000026,-2.999999999999936,0.4999999999999005
2023-10-19,-275.01,-27.44999999999997,-71.19999999999997,-128.7,-14.99999999999986,-13.74999999999993,17.49999999999989,2.500000000000036,2.989999999999959,-4.260000000000019,3.999999999999915
2023-10-20,-270.5,-26.75000000000001,-72.49999999999997,-131.0,-4.799999999999827,-12.75000000000013,21.49999999999999,-0.4999999999999005,1.999999999999957,-1.200000000000045,-2.10000000000008
2023-10-23,-262.2499999999999,-25.4999999999999,-64.69999999999993,-124.9999999999999,-12.0000000000001,-21.10000000000003,22.79999999999998,2.249999999999908,3.749999999999964,-4.499999999999993,-0.9999999999999787
2023-10-24,-259.5,-24.09999999999997,-61.09999999999998,-121.0999999999999,-14.99999999999986,-22.99999999999986,22.00000000000006,5.499999999999972,6.49999999999995,-1.499999999999879,-2.749999999999986
2023-10-25,-256.7499999999999,-25.25000000000004,-63.20000000000006,-122.5000000000001,-17.99999999999997,-21.34999999999998,22.30000000000008,9.499999999999886,6.25,-4.049999999999976,-0.9000000000000341
2023-10-26,-261.7500000000001,-25.99999999999998,-62.00000000000001,-121.5,-24.0000000000002,-23.49999999999994,20.50000000000001,15.49999999999994,6.49999999999995,1.250000000000107,-7.000000000000028
2023-10-27,-261.7500000000001,-25.99999999999998,-62.00000000000001,-121.5,-25.0,-23.49999999999994,20.50000000000001,15.49999999999994,6.49999999999995,1.250000000000107,-7.000000000000028
2023-10-30,-279.5,-29.59999999999994,-71.59999999999994,-132.3499999999999,-21.99999999999989,-18.75,22.49999999999996,6.25,3.500000000000192,-0.9999999999999787,-0.7500000000000284
2023-10-31,-281.4999999999999,-29.25000000000004,-72.50000000000006,-135.0000000000001,-19.00000000000013,-19.25000000000008,22.99999999999986,6.500000000000128,7.499999999999929,-2.300000000000146,0.09999999999994458
2023-11-01,-281.4999999999999,-29.25000000000004,-73.00000000000004,-135.0000000000001,-19.00000000000013,-18.2500000000001,22.49999999999996,6.500000000000128,7.499999999999929,-2.300000000000146,0.09999999999994458
2023-11-02,-295.0,-28.59999999999996,-77.79999999999995,-141.35,-11.49999999999984,-14.35000000000013,21.05000000000015,8.249999999999957,4.250000000000043,-3.000000000000114,-2.500000000000036
2023-11-03,-312.5000000000001,-30.49999999999997,-82.74999999999997,-149.25,-10.50000000000004,-14.25000000000001,22.75000000000009,11.50000000000002,3.499999999999837,-0.7999999999999119,-2.400000000000091
2023-11-06,-307.7500000000001,-31.09999999999999,-79.35,-145.6000000000001,-10.00000000000014,-17.99999999999997,20.25000000000006,12.75000000000013,7.249999999999979,-2.250000000000085,-3.749999999999964
2023-11-07,-312.7500000000001,-35.79999999999997,-81.80000000000005,-148.55,-12.00000000000045,-20.74999999999996,22.99999999999986,11.99999999999992,7.000000000000028,-1.449999999999996,-0.8500000000001506
2023-11-08,-318.0000000000001,-36.00000000000003,-83.80000000000001,-150.5,-5.900000000000105,-18.90000000000001,22.19999999999995,11.50000000000002,8.000000000000007,-1.500000000000057,-0.9999999999999787
2023-11-09,-319.0099999999999,-35.40000000000001,-85.65000000000005,-150.9,-10.39999999999992,-15.00000000000004,19.74999999999998,11.00000000000012,6.990000000000052,-2.76000000000014,1.500000000000057
2023-11-10,-316.0000000000001,-34.99999999999996,-85.99999999999994,-148.9999999999999,-5.499999999999972,-11.99999999999992,15.49999999999994,12.20000000000017,7.699999999999996,0.4999999999999005,-3.999999999999915
2023-11-13,-321.75,-33.5,-84.49999999999997,-147.5,-3.000000000000114,-12.0000000000001,11.99999999999992,14.49999999999996,4.000000000000092,0.9999999999999787,1.77635683940025e-13
2023-11-14,-336.0000000000001,-40.24999999999999,-92.0,-152.75,-1.40000000000029,-8.999999999999986,12.9999999999999,8.250000000000135,4.499999999999993,0.2000000000000668,-3.89999999999997
2023-11-15,-331.9999999999999,-39.49999999999996,-92.69999999999996,-153.4999999999999,6.60000000000025,-7.600000000000051,14.79999999999997,6.49999999999995,5.000000000000071,-1.699999999999946,-0.6000000000000227
2023-11-16,-330.01,-39.00000000000006,-94.50000000000003,-152.5,5.000000000000071,-2.500000000000036,13.49999999999998,5.250000000000021,4.240000000000066,-0.5100000000000549,-10.50000000000004
2023-11-17,-321.2499999999999,-38.90000000000002,-95.19999999999999,-152.4,5.099999999999838,-0.9000000000000341,14.70000000000002,6.49999999999995,5.250000000000021,1.249999999999929,-5.000000000000071
2023-11-20,-320.2499999999999,-39.50000000000004,-91.80000000000001,-149.7500000000001,8.500000000000085,-5.649999999999977,15.70000000000018,7.249999999999979,7.500000000000107,-1.77635683940025e-13,-4.499999999999815
2023-11-21,-326.01,-42.49999999999999,-94.29999999999995,-152.9999999999999,4.199999999999804,-6.900000000000084,17.19999999999988,5.799999999999983,6.789999999999985,-1.010000000000133,-0.9999999999999787
2023-11-22,-318.2499999999999,-42.15,-93.40000000000002,-150.4,3.000000000000114,-5.750000000000099,14.75000000000009,9.499999999999886,8.500000000000085,0.0,-2.500000000000036
2023-11-23,-318.2499999999999,-41.89999999999996,-93.64999999999996,-152.4,4.500000000000171,-7.000000000000028,18.75000000000018,6.49999999999995,9.249999999999936,-0.5499999999999616,-2.400000000000091
2023-11-24,-315.5,-42.19999999999997,-93.19999999999995,-150.2,1.500000000000057,-6.00000000000005,16.00000000000001,9.699999999999953,7.200000000000095,-0.9999999999999787,-2.000000000000135
2023-11-27,-321.75,-42.49999999999999,-94.00000000000004,-152.5,0.4999999999999005,-7.000000000000028,18.00000000000015,7.699999999999996,3.200000000000003,-0.8000000000000895,-2.400000000000091
2023-11-28,-326.0,-43.30000000000007,-94.00000000000004,-152.8,-4.499999999999815,-8.10000000000013,15.55,10.20000000000003,1.699999999999946,-0.9999999999999787,-1.500000000000057
2023-11-29,-331.0000000000001,-43.59999999999999,-98.1,-156.1,-11.5000000000002,-3.500000000000014,16.74999999999986,10.00000000000014,2.500000000000036,-0.4999999999999005,-3.500000000000014
2023-11-30,-320.01,-45.00000000000001,-100.5,-160.75,-6.700000000000017,-4.749999999999943,19.25000000000008,12.25000000000005,4.490000000000016,-1.509999999999856,-0.5000000000000782
2023-12-01,-323.5000000000001,-44.29999999999996,-99.09999999999997,-159.3,-5.000000000000071,-5.400000000000027,18.69999999999994,14.49999999999996,5.000000000000071,0.2499999999999503,-2.999999999999936
2023-12-04,-324.4999999999999,-44.30000000000005,-99.55000000000007,-160.3000000000001,-8.49999999999973,-5.499999999999972,19.74999999999998,14.49999999999996,4.500000000000171,0.0,-1.999999999999957
2023-12-05,-326.4999999999999,-45.2,-103.2,-163.7,-8.999999999999986,-2.500000000000036,20.50000000000001,13.30000000000009,3.299999999999947,4.000000000000092,-6.49999999999995
2023-12-06,-322.25,-47.24999999999993,-107.4999999999999,-166.5,-2.59999999999998,1.249999999999929,18.00000000000015,11.49999999999984,5.249999999999844,-1.949999999999896,-2.600000000000158
2023-12-07,-326.4999999999999,-45.74999999999996,-107.7,-170.25,-7.499999999999929,-0.5999999999998451,21.54999999999987,11.74999999999997,5.000000000000071,-0.4999999999999005,-3.999999999999915
2023-12-08,-326.4999999999999,-45.74999999999996,-107.7,-170.25,-8.500000000000085,-0.5999999999998451,21.54999999999987,12.0000000000001,5.250000000000021,-0.4999999999999005,-3.999999999999915
2023-12-11,-317.4999999999999,-45.00000000000001,-104.5,-165.0,-10.39999999999992,-0.9999999999999787,20.50000000000001,11.69999999999991,4.699999999999882,-0.7999999999999119,-3.89999999999997
2023-12-12,-317.7499999999999,-44.49999999999994,-106.3,-167.0,-10.50000000000004,1.099999999999923,20.2,14.79999999999997,5.300000000000082,-1.499999999999879,-5.000000000000071
2023-12-13,-318.5000000000001,-45.50000000000001,-107.0,-167.0000000000001,-15.00000000000021,1.499999999999879,17.99999999999997,17.99999999999997,7.000000000000206,-0.5000000000000782,-2.999999999999936
2023-12-14,-325.5000000000001,-46.0,-105.5,-166.7500000000001,-17.20000000000006,-1.750000000000185,19.00000000000013,22.74999999999991,11.50000000000002,-1.750000000000007,-2.500000000000036
2023-12-15,-325.5000000000001,-46.19999999999997,-106.2,-168.2,-17.50000000000007,-1.999999999999957,19.25000000000008,23.19999999999993,11.20000000000001,-0.8000000000000895,-1.900000000000013
2023-12-18,-318.0,-43.49999999999996,-101.0,-160.75,-14.29999999999989,-2.249999999999908,15.25000000000016,22.4499999999999,8.199999999999896,-0.7999999999999119,-1.90000000000019
2023-12-19,-319.5,-42.49999999999999,-96.49999999999999,-155.5000000000001,-15.50000000000011,-5.000000000000071,16.50000000000009,19.00000000000013,9.500000000000064,-0.9999999999999787,-1.500000000000057
2023-12-20,-308.2500000000001,-42.10000000000002,-95.85,-151.3500000000001,-13.80000000000017,-1.750000000000185,15.75000000000006,18.55000000000011,5.799999999999983,-2.199999999999847,0.8999999999998565
2023-12-21,-301.75,-43.50000000000005,-95.00000000000001,-147.75,-10.50000000000004,-1.250000000000107,16.74999999999986,14.25000000000018,6.49999999999995,0.0,-2.749999999999986
2023-12-22,-301.5000000000001,-44.50000000000003,-96.49999999999999,-147.5000000000001,-13.49999999999998,0.999999999999801,15.50000000000011,13.4999999999998,6.999999999999851,-1.500000000000057,-6.00000000000005
2023-12-26,-304.0,-44.00000000000004,-95.00000000000001,-145.5,-15.00000000000021,0.5000000000000782,14.99999999999986,14.25000000000018,8.249999999999957,-3.500000000000014,1.500000000000057
2023-12-27,-301.0,-46.09999999999994,-99.59999999999995,-146.85,-19.00000000000013,6.25,14.49999999999996,13.95000000000017,6.200000000000117,2.500000000000036,-5.250000000000021
2023-12-28,-293.9999999999999,-45.24999999999997,-100.2499999999999,-147.5,-15.99999999999984,7.749999999999879,16.24999999999996,12.75000000000013,6.750000000000078,0.9999999999999787,-8.999999999999986
2023-12-29,-286.5,-42.10000000000002,-96.60000000000002,-144.1000000000001,-17.50000000000007,7.000000000000028,18.00000000000015,12.80000000000001,5.800000000000161,0.999999999999801,-1.99999999999978
2024-01-02,-280.5,-42.25000000000003,-93.49999999999996,-141.5,-19.50000000000003,3.249999999999886,16.99999999999999,17.29999999999983,7.30000000000004,-3.500000000000014,1.999999999999957
2024-01-03,-275.0,-42.49999999999999,-93.49999999999996,-139.75,-14.49999999999996,4.749999999999943,15.00000000000004,16.24999999999996,7.000000000000028,-2.249999999999908,1.77635683940025e-13
2024-01-04,-262.7499999999999,-40.75000000000006,-89.00000000000006,-130.0000000000001,-14.99999999999986,7.249999999999979,9.500000000000064,16.99999999999982,9.250000000000114,-1.750000000000007,-0.5000000000000782
2024-01-05,-264.5000000000001,-43.25000000000001,-92.25000000000003,-136.5,-16.00000000000001,4.750000000000121,16.24999999999996,14.50000000000014,8.000000000000007,-1.750000000000185,-1.500000000000057
2024-01-08,-265.9999999999999,-45.35,-94.10000000000008,-135.35,-26.49999999999988,7.500000000000107,17.50000000000007,13.00000000000008,7.750000000000234,-1.999999999999957,-3.000000000000114
2024-01-09,-266.0,-45.00000000000001,-96.00000000000009,-136.7500000000001,-25.50000000000008,10.25000000000009,17.25000000000012,16.0499999999999,5.049999999999955,0.0,-5.000000000000071
2024-01-10,-266.0,-46.0,-99.30000000000004,-140.0,-24.99999999999982,12.59999999999994,16.69999999999998,18.75000000000018,7.249999999999979,-0.5000000000000782,-3.499999999999837
2024-01-11,-257.0,-43.99999999999995,-95.74999999999996,-135.0,-25.50000000000008,12.5,15.24999999999999,19.50000000000003,6.25,0.5000000000000782,-3.999999999999915
2024-01-12,-255.0,-40.00000000000004,-92.0,-129.5,-34.49999999999989,14.49999999999996,15.24999999999999,18.99999999999995,4.000000000000092,0.4999999999999005,-4.500000000000171
2024-01-15,-254.75,-41.99999999999999,-90.30000000000004,-129.5,-36.50000000000002,9.100000000000108,17.19999999999988,19.00000000000013,5.000000000000071,0.0,-1.499999999999879
2024-01-16,-249.2500000000001,-40.25000000000007,-87.30000000000003,-124.5,-38.49999999999998,9.849999999999959,17.44999999999983,18.50000000000005,4.499999999999815,-0.9999999999999787,-0.5000000000000782
2024-01-17,-248.75,-40.50000000000003,-85.75,-121.75,-37.5,9.249999999999936,17.25000000000012,16.75000000000004,7.750000000000057,0.5000000000000782,-4.999999999999893
2024-01-18,-239.0,-39.15000000000006,-81.89999999999999,-118.4,-31.19999999999994,6.25,18.2500000000001,16.50000000000009,7.000000000000028,0.9999999999999787,-5.499999999999972
2024-01-19,-233.5,-40.50000000000003,-81.74999999999999,-116.5,-42.99999999999979,6.49999999999995,15.75000000000006,17.50000000000007,9.999999999999964,1.200000000000045,-5.899999999999928
2024-01-22,-229.5,-36.49999999999993,-75.69999999999996,-112.5,-43.99999999999995,2.400000000000091,19.30000000000014,16.99999999999999,6.49999999999995,0.5000000000000782,-7.500000000000107
2024-01-23,-225.0,-34.10000000000002,-70.60000000000004,-106.85,-43.99999999999995,0.2500000000001279,18.99999999999995,15.45000000000005,8.199999999999896,0.2499999999999503,-5.499999999999972
2024-01-24,-224.0,-33.30000000000002,-68.80000000000007,-103.8,-46.99999999999989,0.5000000000000782,17.99999999999997,15.29999999999987,8.799999999999919,2.699999999999925,-5.900000000000105
2024-01-25,-218.0000000000001,-34.70000000000005,-69.95000000000005,-103.45,-47.00000000000006,1.750000000000007,18.2500000000001,15.55,8.800000000000097,1.750000000000007,-5.000000000000071
2024-01-26,-215.25,-34.49999999999997,-71.69999999999996,-103.5,-49.0000000000002,5.399999999999849,18.80000000000006,13.49999999999998,7.749999999999879,0.7500000000000284,-4.749999999999943
2024-01-29,-214.25,-34.99999999999996,-71.0,-102.9999999999999,-54.00000000000009,4.000000000000092,20.49999999999983,14.00000000000006,7.000000000000028,-1.500000000000057,-3.750000000000142
2024-01-30,-217.25,-35.49999999999996,-71.8,-103.5,-56.00000000000005,4.599999999999937,18.44999999999999,14.99999999999986,8.249999999999957,-1.749999999999829,-3.500000000000192
2024-01-31,-219.25,-35.49999999999996,-71.49999999999999,-103.5,-51.50000000000006,4.000000000000092,19.25000000000008,12.49999999999982,10.50000000000004,-1.199999999999868,-3.599999999999959
2024-02-01,-217.25,-36.39999999999999,-70.69999999999999,-99.89999999999996,-47.49999999999996,5.100000000000016,16.1999999999999,11.5000000000002,11.50000000000002,-1.200000000000045,-3.599999999999959
2024-02-02,-213.2499999999999,-34.99999999999996,-69.49999999999994,-96.99999999999997,-46.99999999999989,7.000000000000028,12.0000000000001,14.00000000000006,8.499999999999908,-1.499999999999879,-2.999999999999936
