DATE,VIX PX_LAST,XAU PX_LAST,CL1 PX_LAST,DXY PX_LAST,USGG10Y PX_LAST
1990-01-02,17.24,399.0,22.89,94.25,7.93
1990-01-03,18.19,395.0,23.68,94.45,7.974
1990-01-04,19.22,396.5,23.41,92.54,7.972
1990-01-05,20.11,405.0,23.08,93.06,7.984
1990-01-08,20.26,404.6,21.62,92.05,8.012
1990-01-09,22.2,403.45,22.07,92.36,8.009
1990-01-10,22.44,409.1,22.9,92.5,8.014
1990-01-11,20.05,412.1,23.14,92.44,8.044
1990-01-12,24.64,416.25,23.13,92.56,8.096
1990-01-15,26.34,415.6,22.36,92.95,8.113
1990-01-16,24.18,412.75,22.78,92.87,8.196
1990-01-17,24.16,410.4,22.1,92.77,8.191
1990-01-18,24.34,413.4,22.76,93.78,8.303
1990-01-19,22.5,408.65,23.67,93.76,8.232
1990-01-22,26.7,406.0,22.55,94.36,8.27
1990-01-23,24.72,408.25,21.6,93.05,8.349
1990-01-24,25.39,420.75,21.59,92.87,8.366
1990-01-25,25.63,415.65,22.24,92.57,8.413
1990-01-26,26.28,418.0,22.56,92.53,8.464
1990-01-29,26.44,418.75,22.8,91.99,8.535
1990-01-30,27.25,418.15,22.46,92.91,8.501
1990-01-31,25.36,415.05,22.68,92.55,8.418
1990-02-01,24.87,415.8,22.7,92.18,8.413
1990-02-02,24.32,417.95,23.02,92.44,8.494
1990-02-05,24.54,423.0,22.39,91.49,8.519
1990-02-06,24.69,421.05,22.51,91.45,8.58
1990-02-07,24.29,423.75,22.32,91.68,8.536
1990-02-08,23.77,418.0,22.09,91.92,8.429
1990-02-09,23.69,415.5,21.74,91.94,8.29
1990-02-12,24.38,418.85,22.03,92.11,8.385
1990-02-13,23.76,418.05,21.9,92.21,8.32
1990-02-14,22.05,414.6,22.07,92.25,8.373
1990-02-15,19.71,416.65,22.84,92.89,8.413
1990-02-16,20.78,416.5,22.42,92.07,8.413
1990-02-19,,416.5,,,8.478
1990-02-20,22.78,419.95,22.19,91.78,8.629
1990-02-21,23.89,420.0,21.74,91.88,8.603
1990-02-22,22.54,417.65,21.75,91.84,8.539
1990-02-23,23.69,415.85,21.42,92.2,8.537
1990-02-26,23.56,411.3,21.79,92.71,8.459
1990-02-27,22.69,407.55,21.58,92.83,8.414
1990-02-28,21.99,407.7,21.54,93.39,8.515
1990-03-01,21.9,406.3,21.17,93.96,8.581
1990-03-02,21.34,405.05,21.35,94.15,8.546
1990-03-05,22.03,403.2,21.58,93.36,8.631
1990-03-06,20.55,405.35,19.33,93.59,8.562
1990-03-07,19.1,400.5,20.93,93.37,8.579
1990-03-08,19.74,400.7,20.78,93.62,8.553
1990-03-09,20.3,399.3,20.43,93.89,8.631
1990-03-12,20.07,401.25,20.24,94.43,8.629
1990-03-13,21.05,397.25,20.22,94.28,8.708
1990-03-14,19.65,398.75,20.05,94.2,8.628
1990-03-15,18.81,399.5,20.38,93.74,8.652
1990-03-16,17.62,400.65,20.07,93.82,8.566
1990-03-19,18.29,402.1,19.6,93.49,8.581
1990-03-20,19.06,399.65,19.28,94.3,8.533
1990-03-21,20.1,392.0,19.96,94.57,8.564
1990-03-22,22.74,392.0,20.0,94.19,8.528
1990-03-23,20.46,393.5,20.39,94.39,8.521
1990-03-26,19.59,370.25,20.46,94.36,8.495
1990-03-27,21.01,368.0,20.48,94.55,8.512
1990-03-28,19.77,372.0,20.08,94.47,8.495
1990-03-29,18.46,371.5,20.05,93.58,8.614
1990-03-30,19.73,368.5,20.28,93.77,8.628
1990-04-02,22.84,368.4,20.48,94.1,8.64
1990-04-03,20.44,375.0,20.3,93.99,8.626
1990-04-04,22.03,374.25,19.78,94.01,8.547
1990-04-05,21.21,378.4,19.43,93.85,8.559
1990-04-06,21.76,377.7,19.15,93.7,8.552
1990-04-09,22.3,376.7,18.44,93.64,8.587
1990-04-10,21.69,375.2,17.68,92.97,8.623
1990-04-11,17.73,374.5,18.06,92.87,8.611
1990-04-12,19.8,375.5,17.78,92.91,8.633
1990-04-13,,,,,8.614
1990-04-16,20.75,,17.85,93.35,8.666
1990-04-17,20.38,374.0,17.44,93.31,8.741
1990-04-18,22.67,374.75,16.96,92.94,8.851
1990-04-19,22.46,375.75,18.06,93.08,8.863
1990-04-20,23.33,376.0,17.95,93.39,8.945
1990-04-23,24.16,375.25,19.07,93.8,8.977
1990-04-24,21.7,376.8,19.0,93.83,8.975
1990-04-25,20.86,371.45,18.66,93.08,8.992
1990-04-26,20.25,371.6,18.47,93.17,9.062
1990-04-27,22.19,371.6,18.54,93.08,9.042
1990-04-30,19.52,367.75,18.54,93.08,9.022
1990-05-01,18.43,369.5,18.88,93.14,9.06
1990-05-02,19.32,369.6,18.68,93.21,9.062
1990-05-03,17.81,369.9,17.99,93.16,9.01
1990-05-04,17.28,371.3,17.98,92.43,8.835
1990-05-07,17.65,,18.27,92.04,8.857
1990-05-08,18.49,370.65,18.28,92.01,8.845
1990-05-09,18.64,370.3,18.99,91.16,8.879
1990-05-10,18.59,371.75,19.02,91.03,8.817
1990-05-11,19.81,368.55,18.95,91.06,8.645
1990-05-14,20.14,369.0,19.71,91.11,8.608
1990-05-15,19.49,367.75,19.59,91.15,8.643
1990-05-16,17.71,369.85,19.03,91.24,8.673
1990-05-17,17.27,369.2,18.87,91.25,8.687
1990-05-18,17.2,369.9,18.76,91.38,8.743
1990-05-21,16.72,373.1,18.26,91.94,8.729
1990-05-22,17.84,375.1,17.68,91.97,8.651
1990-05-23,17.18,364.5,18.14,92.07,8.59
1990-05-24,17.7,366.5,17.83,92.41,8.637
1990-05-25,17.32,366.5,17.8,92.17,8.691
1990-05-28,,,,,8.702
1990-05-29,18.75,367.7,17.98,91.98,8.637
1990-05-30,17.44,366.4,18.08,92.33,8.611
1990-05-31,17.37,363.05,17.4,92.93,8.599
1990-06-01,17.09,363.45,17.5,92.99,8.454
1990-06-04,18.39,357.05,17.14,92.68,8.44
1990-06-05,18.97,358.1,16.68,92.59,8.463
1990-06-06,17.42,359.5,16.92,92.61,8.459
1990-06-07,16.88,352.8,16.67,92.8,8.451
1990-06-08,17.58,353.5,16.78,93.08,8.472
1990-06-11,16.34,354.7,16.82,92.93,8.476
1990-06-12,16.6,355.75,17.51,92.94,8.481
1990-06-13,17.38,350.5,17.58,92.54,8.395
1990-06-14,17.4,345.85,17.13,92.73,8.363
1990-06-15,15.9,346.9,16.62,92.59,8.45
1990-06-18,17.71,349.25,15.94,92.02,8.49
1990-06-19,15.23,348.65,15.65,91.91,8.503
1990-06-20,15.27,346.9,15.3,92.06,8.536
1990-06-21,14.72,349.75,16.94,92.11,8.513
1990-06-22,19.36,348.4,17.46,91.97,8.498
1990-06-25,17.06,353.4,17.38,92.1,8.585
1990-06-26,16.29,349.35,17.14,91.46,8.533
1990-06-27,16.0,350.65,16.68,91.53,8.498
1990-06-28,16.18,352.3,17.15,91.68,8.449
1990-06-29,15.5,352.2,17.07,91.15,8.412
1990-07-02,16.26,357.4,16.72,90.51,8.409
1990-07-03,16.11,362.0,16.8,90.43,8.393
1990-07-04,,362.5,,,8.383
1990-07-05,17.25,359.7,16.5,90.41,8.4
1990-07-06,16.41,361.15,16.47,90.5,8.513
1990-07-09,16.66,360.25,16.58,90.27,8.558
1990-07-10,16.92,354.0,16.94,89.58,8.572
1990-07-11,16.68,354.3,17.47,90.18,8.569
1990-07-12,17.06,351.45,18.46,89.38,8.494
1990-07-13,17.09,363.6,18.36,90.06,8.436
1990-07-16,16.75,363.25,18.67,90.19,8.435
1990-07-17,16.66,360.7,18.65,89.69,8.435
1990-07-18,18.9,359.4,18.55,89.84,8.501
1990-07-19,18.56,362.3,18.99,89.66,8.491
1990-07-20,15.63,361.0,19.61,89.54,8.47
1990-07-23,23.68,366.1,20.5,88.93,8.491
1990-07-24,21.79,368.7,20.56,88.99,8.533
1990-07-25,20.19,372.75,20.38,89.15,8.479
1990-07-26,20.26,368.75,20.3,89.14,8.483
1990-07-27,21.12,366.75,20.04,88.44,8.416
1990-07-30,21.16,367.3,20.21,88.13,8.344
1990-07-31,21.11,372.3,20.69,87.2,8.341
1990-08-01,21.64,370.65,21.54,87.42,8.276
1990-08-02,20.43,380.7,23.11,87.73,8.376
1990-08-03,28.74,379.0,24.49,87.54,8.443
1990-08-06,35.91,382.25,28.05,87.12,8.676
1990-08-07,32.75,383.25,28.31,87.52,8.714
1990-08-08,28.27,384.75,25.96,87.59,8.736
1990-08-09,24.39,383.6,25.67,87.69,8.648
1990-08-10,25.75,389.35,26.23,87.59,8.657
1990-08-13,25.74,404.3,26.77,87.01,8.693
1990-08-14,24.18,411.5,26.42,86.37,8.655
1990-08-15,23.31,398.4,26.46,86.3,8.638
1990-08-16,27.16,402.6,27.36,85.87,8.778
1990-08-17,27.53,410.6,28.63,85.62,8.79
1990-08-20,26.46,407.75,28.56,86.18,8.811
1990-08-21,28.9,413.8,28.41,86.17,8.833
1990-08-22,30.55,408.75,31.22,85.97,8.946
1990-08-23,36.47,412.4,31.93,85.12,9.009
1990-08-24,33.93,410.3,30.91,85.66,9.036
1990-08-27,29.63,,26.91,85.3,8.873
1990-08-28,29.12,388.25,27.88,85.4,8.921
1990-08-29,27.38,384.3,25.92,85.57,8.811
1990-08-30,29.89,389.75,26.77,85.92,8.842
1990-08-31,29.9,387.75,27.32,86.58,8.846
1990-09-03,,386.75,,,8.87
1990-09-04,29.58,381.4,29.12,86.85,8.887
1990-09-05,28.52,383.3,29.77,85.72,8.832
1990-09-06,30.19,387.5,31.43,85.47,8.82
