,Brazil
2016-04-07,100.13041126875433
2016-04-08,99.9994817769866
2016-04-11,100.10543007127472
2016-04-12,100.07076907786576
2016-04-13,100.1584424850597
2016-04-14,100.19881959396339
2016-04-15,100.420795067043
2016-04-18,100.22943111194415
2016-04-19,100.04268361322491
2016-04-20,100.08338068097432
2016-04-22,99.99004810784727
2016-04-25,100.12404138969835
2016-04-26,100.01590844911539
2016-04-27,100.08586129844413
2016-04-28,100.78533490524934
2016-04-29,101.31629624685172
2016-05-02,101.57060148441819
2016-05-03,101.60626536961261
2016-05-04,101.66201391128602
2016-05-05,101.34369290456277
2016-05-06,101.64919207499858
2016-05-09,102.02136150188315
2016-05-10,102.21260222859212
2016-05-11,101.80908377753373
2016-05-12,101.61891923935133
2016-05-13,101.36146608576122
2016-05-16,101.83801116007044
2016-05-17,101.7103321776551
2016-05-18,101.99125226108052
2016-05-19,101.75031741878242
2016-05-20,101.89047124689941
2016-05-23,101.49324399712508
2016-05-24,101.69890505651667
2016-05-25,101.77872596694624
2016-05-27,102.20296687582453
2016-05-30,101.71254362377987
2016-05-31,102.0211278195642
2016-06-01,101.7067725686132
2016-06-02,101.865878868438
2016-06-03,101.74397954641199
2016-06-06,101.41982852322992
2016-06-07,101.58144753529142
2016-06-08,101.42164720970588
2016-06-09,101.54263751503024
2016-06-10,101.763781842263
2016-06-13,101.89637383061185
2016-06-14,102.05735673452972
2016-06-15,102.13605802635514
2016-06-16,101.89601624269909
2016-06-17,102.1386276791604
2016-06-20,102.05576272593058
2016-06-21,102.31893449017775
2016-06-22,102.19545572690552
2016-06-23,102.29461353546965
2016-06-24,102.4536402247102
2016-06-27,102.60407444618342
2016-06-28,102.53363001945728
2016-06-29,102.38828277194163
2016-06-30,102.2131831224506
2016-07-01,102.51591212193762
2016-07-04,102.41783767921899
2016-07-05,102.34362369865973
2016-07-06,102.40604171376889
2016-07-07,102.49635690725472
2016-07-08,102.31509128056571
2016-07-11,102.48608812672096
2016-07-12,102.48484347391624
2016-07-13,102.57626471562456
2016-07-14,102.65151528077887
2016-07-15,102.67132536035699
2016-07-18,102.44891962924152
2016-07-19,102.29006533261023
2016-07-20,102.27287710336248
2016-07-21,102.06517448654613
2016-07-22,102.44875036573285
2016-07-25,102.1919766038464
2016-07-26,101.78742523146565
2016-07-27,102.33639521141214
2016-07-28,102.20146796719627
2016-07-29,102.46482213334704
2016-08-01,102.05556539032767
2016-08-02,102.07279211984425
2016-08-03,101.95415506936291
2016-08-04,102.36480839988174
2016-08-05,102.56196295207327
2016-08-08,102.38432844649934
2016-08-09,102.54618348826277
2016-08-10,102.25780161690527
2016-08-11,102.29960820258877
2016-08-12,102.26688466117102
2016-08-15,102.370973609592
2016-08-16,102.4667470371454
2016-08-17,102.36898879973626
2016-08-18,102.33043523713758
2016-08-19,102.68160780266213
2016-08-22,102.64810480825201
2016-08-23,102.90967528801328
2016-08-24,102.99586118612933
2016-08-25,103.0864815190047
2016-08-26,102.8217016278729
2016-08-29,102.78317185614192
2016-08-30,102.91422899229339
2016-08-31,103.11843188729107
2016-09-01,102.80172546370763
2016-09-02,103.07539336262256
2016-09-05,102.73979768170523
2016-09-06,103.13687839984233
2016-09-08,103.05441984839598
2016-09-09,102.68950353885951
2016-09-12,102.72806721134819
2016-09-13,102.91842482956002
2016-09-14,103.10227855419068
2016-09-15,103.07359652053678
2016-09-16,103.09392599916194
2016-09-19,103.3030324947922
2016-09-20,103.40141407821154
2016-09-21,103.35101290922965
2016-09-22,103.1246716849376
2016-09-23,103.31539049565026
2016-09-26,103.29201523026245
2016-09-27,102.66550091589257
2016-09-28,102.5379262750814
2016-09-29,102.73285166374345
2016-09-30,102.5935273305181
2016-10-03,103.00549794412868
2016-10-04,102.15887759499111
2016-10-05,102.28063864063034
2016-10-06,102.15827379784595
2016-10-07,101.84580624585398
