,Chile
2016-11-28,100.33416544577224
2016-11-29,100.3098045854919
2016-11-30,100.14051126785365
2016-12-02,100.20659650484711
2016-12-06,100.49701627244964
2016-12-07,100.46062812327547
2016-12-09,100.73899492424007
2016-12-12,100.99414066654273
2016-12-13,100.90128308180921
2016-12-14,100.89182834517241
2016-12-15,101.09151904952964
2016-12-19,100.8949579491586
2016-12-20,100.82313842404858
2016-12-21,100.72556730483934
2016-12-22,100.83574263480983
2016-12-23,100.8889326036974
2016-12-27,100.84574919326343
2016-12-28,100.97895538167947
2016-12-29,100.90895931250871
2016-12-30,101.00738598083463
2017-01-23,101.29534956906483
2017-01-24,101.23786608801113
2017-01-25,101.30604942033361
2017-01-26,101.09963372246946
2017-01-27,100.88599634390675
2017-01-31,101.03125528922368
2017-02-01,101.04323496906062
2017-02-02,101.08314942589391
2017-02-03,101.12349591806145
2017-02-06,101.01280428621213
2017-02-07,100.93605934020829
2017-02-08,100.76781346228212
2017-02-09,100.69539112706525
2017-02-10,100.67840271976465
2017-02-13,100.93089335062876
2017-02-14,100.88955485737962
2017-02-15,101.06780942956266
2017-02-16,100.97720527830948
2017-02-17,101.10984716403931
2017-02-21,101.07339864403313
2017-02-22,101.17944168347172
2017-02-23,101.1345355679826
2017-02-24,101.07155449931548
2017-02-28,101.0077311776771
2017-03-01,100.98826249587893
2017-03-02,100.92507671240926
2017-03-03,101.08955285463436
2017-03-07,101.16167428423807
2017-03-08,101.2479974636294
2017-03-09,101.40312000107461
2017-03-10,101.3431277079021
2017-03-13,101.31387227857695
2017-03-14,101.35576791237229
2017-03-15,101.15171746410614
2017-03-20,101.50586042934806
2017-03-21,101.45995506242993
2017-03-22,101.66736301427741
2017-03-23,101.59863783586734
2017-03-24,101.51998151222945
2017-03-28,101.58091328132859
2017-03-29,101.66731600898386
2017-03-30,101.71118058991007
2017-03-31,101.96025250922747
2017-04-10,101.49312306330059
2017-04-11,101.16625095869647
2017-04-12,101.37996100272943
2017-04-13,101.27072601287894
2017-04-18,101.37699829309909
2017-04-20,101.48238244228993
2017-04-21,101.38309792584627
2017-04-24,101.6051180521377
2017-04-25,101.5481592147166
2017-04-26,101.32390010675105
2017-04-27,101.74404750076226
2017-04-28,101.66567136148043
2017-05-04,101.67088453796767
2017-05-05,101.54043320313464
2017-05-08,101.3019278246573
2017-05-09,101.6121110030265
2017-05-10,101.53997555493561
2017-05-11,101.75958009941151
2017-05-12,101.66056087426692
2017-05-15,101.56701935208075
2017-05-16,101.48658441941627
2017-05-17,101.4979757011998
2017-05-18,101.50261279368749
2017-05-19,101.49101569410604
2017-05-23,101.49841314133221
2017-05-24,101.51057182417003
2017-05-25,101.58252354304923
2017-05-30,101.8844937900061
2017-05-31,101.83472940207427
2017-06-01,101.45311357011306
2017-06-02,101.77138376156974
2017-06-05,101.65613177937229
2017-06-06,101.3548951441374
2017-06-07,101.28937704373662
2017-06-08,101.03282884146698
2017-06-12,101.19950927134005
2017-06-13,101.31027639422399
2017-06-14,101.25608198176421
2017-06-15,101.26929425346714
2017-06-16,101.41990387745439
2017-06-27,101.33136043394444
2017-06-28,101.23211778829717
2017-06-29,101.23249494326065
2017-06-30,101.28905733804972
2017-07-03,101.42480443363344
2017-07-04,101.41466283910829
2017-07-05,101.75251090557069
2017-07-06,101.70993523222714
2017-07-07,102.0005081400068
2017-07-10,101.96864776114745
2017-07-12,102.04339822473771
2017-07-13,102.04595250517137
2017-07-14,101.65793933679632
2017-07-17,101.49556071439991
2017-07-18,101.78300807201623
2017-07-20,101.94192689021351
2017-07-21,102.13332263194168
2017-07-25,102.29714844512688
2017-07-26,102.01968376223893
2017-07-27,102.27801542519812
2017-07-28,102.1348662614631
2017-07-31,102.07780477553729
2017-08-01,101.85115883688103
2017-08-07,102.41778961670371
2017-08-08,102.48922183793658
2017-08-09,102.2613123082895
2017-08-10,102.36784015054707
2017-08-11,102.44542273496818
2017-08-14,102.52260870496708
2017-08-16,102.17108149506247
2017-08-17,101.96303589322369
2017-08-18,102.09308523584144
2017-08-21,101.88347173641847
2017-08-22,101.92857049842539
2017-08-23,102.0082904857391
2017-08-24,101.93135701369623
2017-08-25,101.63468011542194
2017-08-28,102.07717086033861
2017-08-29,101.99399192731391
2017-08-30,101.99939431749357
2017-08-31,102.02365880730673
2017-09-01,102.12654191739195
2017-09-04,101.91102128047984
2017-09-05,101.96515786520999
2017-09-06,101.55820442122383
2017-09-07,101.51029233297022
2017-09-11,101.48369472333974
2017-09-12,101.7013138372455
2017-09-15,102.11725142504584
2017-09-20,102.17066413371356
2017-09-21,102.2426349744072
2017-09-22,102.21697647717075
2017-09-25,102.13881573825994
2017-09-26,101.98343948080202
2017-09-27,102.26435575931075
2017-09-28,102.1509176202795
2017-09-29,102.21811134965371
2017-10-02,102.13592551957358
2017-10-03,102.12317142687239
2017-10-04,102.04562314549428
2017-10-05,102.17169132834579
2017-10-06,102.37894292314138
2017-10-10,102.27483075920529
2017-10-11,102.14236442583433
2017-10-12,102.06985241627268
2017-10-13,102.02649050834131
2017-10-16,101.99097182033941
2017-10-17,102.10381272677141
2017-10-18,101.8730658146078
2017-10-19,101.98638126231248
2017-10-20,101.96303418994508
2017-11-07,101.80308463333942
2017-11-08,101.81501623399183
2017-11-09,101.57002163240854
2017-11-29,101.82711259713541
2017-12-13,101.62087038537271
2017-12-14,101.70796998168188
2017-12-15,101.69148117129669
2017-12-19,101.65648234091664
2017-12-20,101.76049322795949
2017-12-21,101.87456798268404
2017-12-27,101.96596597089791
2017-12-28,102.0838737607767
2017-12-29,102.14534609972172
2018-01-02,101.67111902496796
2018-01-03,101.83143772900445
2018-01-04,101.64996769733499
2018-01-08,101.65062286019942
2018-01-12,101.73095103297567
2018-01-17,101.8810054008298
2018-01-18,101.81780613785077
2018-01-19,101.84642568884843
2018-01-22,101.84356980031784
2018-01-23,102.13817491871038
2018-01-24,102.31154158522078
2018-01-25,102.43278345583897
2018-01-26,102.13012928387069
2018-01-29,102.25610936794646
2018-01-30,102.3801222296707
2018-01-31,102.2754709440946
2018-02-01,102.3933422975644
2018-02-02,102.23301472302029
2018-02-05,102.37028507113268
2018-02-06,102.28328332755761
2018-02-07,102.3050565966888
2018-02-08,102.26601145712675
2018-02-19,102.23667887700023
2018-02-20,102.20698886316136
2018-02-21,102.13862558452891
2018-02-22,102.60447653007785
2018-02-23,102.69068886194583
2018-02-26,102.68445786557945
2018-02-27,102.87675882275873
2018-02-28,102.76196773075354
2018-03-01,102.9247862520029
2018-03-02,102.92001463695928
2018-03-05,103.01024225900723
2018-03-06,102.76392269206853
2018-03-07,102.76291822724784
2018-03-08,102.71006236362751
2018-03-09,102.7010387639773
2018-03-12,102.60194425856355
2018-03-13,102.35884184917062
2018-03-14,102.11082145981474
2018-03-15,102.09279613756736
2018-03-16,102.2618595395183
2018-03-20,102.52698888035611
2018-03-28,102.16181471801728
2018-03-29,102.48569651133752
2018-04-02,102.49095403600772
2018-04-03,102.5026421313729
2018-04-04,102.56996611855966
2018-04-05,102.55573885063549
2018-04-06,102.55051206448378
2018-04-09,102.41422876040774
2018-04-10,102.58822631478553
2018-04-11,102.6485548515353
2018-04-12,102.55973634186775
2018-04-13,102.52578205730818
2018-04-16,102.30661264746111
2018-04-17,102.78541796092051
2018-04-18,102.15542315446255
2018-04-19,102.19054246015904
2018-04-20,102.23693944165393
2018-04-27,102.60573716631104
2018-05-07,102.62683689382288
2018-05-08,102.59246172826084
2018-05-09,102.40839119689717
