,China
2016-04-27,100.3386438418518
2016-04-28,100.72292677682795
2016-04-29,101.09746617511594
2016-05-03,101.28697002963855
2016-05-04,101.89091026148603
2016-05-05,102.63287509581293
2016-05-06,102.65931374698232
2016-05-09,102.98353427427205
2016-05-10,103.10381638426591
2016-05-11,103.13438162791317
2016-05-12,103.02546837635774
2016-05-13,103.34329045313626
2016-05-17,103.46605796893522
2016-05-18,103.4890125113382
2016-05-19,103.73773957896566
2016-05-20,104.03327147457655
2016-05-24,103.88900263797542
2016-05-25,104.03927012430216
2016-05-26,104.14177435394257
2016-05-27,104.45741186512495
2016-05-30,104.6386824128309
2016-05-31,104.08022630046977
2016-06-01,104.67715866393381
2016-06-02,104.44516111872832
2016-06-03,104.64637716250247
2016-06-06,104.56443219997217
2016-06-07,104.69448375143959
2016-06-08,104.85857537914296
2016-06-13,104.56657665735132
2016-06-14,104.84818724948428
2016-06-15,104.54707785070254
2016-06-16,104.54754153780837
2016-06-17,104.94828728389818
2016-06-21,105.37475098596775
2016-06-22,105.3676603726625
2016-06-23,105.39929303635009
2016-06-24,105.44114832818836
2016-06-27,105.46514351759538
2016-06-28,105.43690081348258
2016-06-29,105.43728276708705
2016-06-30,105.41776349862889
2016-07-01,105.60069616940567
2016-07-04,105.38623928951696
2016-07-05,105.6849701745843
2016-07-06,105.98828149643002
2016-07-07,105.99609085762928
2016-07-08,105.99993309610964
2016-07-12,106.00332335687277
2016-07-13,106.02209180100625
2016-07-21,106.07687424825178
2016-07-22,106.08825571983547
2016-07-27,106.1030048327906
2016-07-28,106.02885697023045
2016-07-29,106.27600461857394
2016-08-03,106.23281457854736
2016-08-05,106.28349163175903
2016-08-10,106.28369891341735
2016-08-11,106.5033597410558
2016-08-12,106.29598948777466
2016-08-15,106.60952914618906
2016-08-16,106.95290777749773
2016-08-17,106.94857406648681
2016-08-19,107.07978550751633
2016-08-23,107.21201729018364
2016-08-24,106.94492464740868
2016-08-25,107.0688071114125
2016-08-31,106.9724532296561
2016-09-01,106.86763322718068
2016-09-02,106.89315480660322
2016-09-08,106.85937124273121
2016-09-14,106.98010557755944
2016-09-20,107.12319781862209
2016-09-21,107.13653107460028
2016-09-22,107.08731506048063
2016-09-23,107.07362308955106
2016-09-28,107.12686676893057
2016-09-29,107.1154980595141
2016-09-30,107.11523361558264
2016-10-11,107.10026412336677
2016-10-13,107.07408058034677
2016-10-14,107.0852510266318
2016-10-18,107.12455131187417
2016-10-19,107.1132438560892
2016-10-20,107.19838163250301
2016-10-21,107.23300319890004
2016-10-24,107.16290920513656
2016-10-25,107.10150984474305
2016-10-26,107.08671366678895
2016-10-27,107.19542255223253
2016-10-28,107.19423132353698
2016-10-31,107.12409125315317
2016-11-01,107.12509593540997
2016-11-02,107.09313065498883
2016-11-03,107.17926979560022
2016-11-04,107.28250624785424
2016-11-07,107.22117711960124
2016-11-08,107.20398998647593
2016-11-10,107.33799320323865
2016-11-11,107.5130997654336
2016-11-14,107.34833310139219
2016-11-15,107.50065910997961
2016-11-16,107.60752138429798
2016-11-17,107.54276236959784
2016-11-21,107.4072984496901
2016-11-22,107.6115696083894
2016-11-24,107.76991471292656
2016-11-25,107.74745180439223
2016-11-30,107.63839982044321
2016-12-01,107.74214524425756
2016-12-02,107.81082076643864
2016-12-05,107.88985278692711
2016-12-06,107.91534227495238
2016-12-08,107.90122044872976
2016-12-09,107.89854347381092
2016-12-12,108.03360374523261
2016-12-14,108.2499421795774
2016-12-15,108.4866531232339
2016-12-16,108.63640878217171
2016-12-19,110.06358707636339
2016-12-20,109.67688255032651
2016-12-21,109.56517634697592
2016-12-22,109.74387746605689
2016-12-26,111.3697377650239
2016-12-27,111.00286566958243
2016-12-28,113.00372240057284
2016-12-29,112.90899195704827
2017-01-03,112.96032225749903
2017-01-05,112.91505642992638
2017-01-06,113.01298034854437
2017-01-10,112.98143608494175
2017-01-17,113.0304941134907
2017-01-18,112.97251336883222
2017-01-19,113.10658032499335
2017-01-20,113.0897228047657
2017-01-26,113.0418512805707
2017-02-06,113.17080536431136
2017-02-07,113.2354650556075
2017-02-08,113.22726679863169
2017-02-09,113.20066573783537
2017-02-10,113.14589475369878
2017-02-15,113.88191396450631
2017-02-16,114.72767807313159
2017-02-21,114.65660435276253
2017-02-22,114.70689821369355
2017-02-27,114.78462999815302
2017-03-07,114.71078812555233
2017-03-10,114.79837976651193
2017-03-15,114.74927625938946
2017-03-16,114.36836180625376
2017-03-17,114.39696044818683
2017-03-20,114.42465788830907
2017-03-21,114.47855461219143
2017-03-22,114.29817821432731
2017-03-23,114.27062455524282
2017-03-24,114.25622912997196
2017-03-28,114.21475702081713
2017-03-29,114.3108337205619
2017-03-30,114.46108883728796
2017-03-31,114.50219128612311
2017-04-05,114.48189827314268
2017-04-06,114.46084964694401
2017-04-14,114.638024252582
2017-04-18,114.45862326655025
2017-04-20,114.44504302509336
2017-05-02,114.33455371151669
2017-05-03,114.2938594332905
2017-05-04,114.32618757268287
2017-05-05,114.33382547627076
2017-05-08,114.49017586055031
2017-05-09,114.39370951776304
2017-05-10,114.35894049298143
2017-05-22,114.88877470945596
2017-05-23,114.82181796783553
2017-05-24,114.8612134063403
2017-05-25,114.90078159549273
2017-05-31,114.85372925407388
2017-06-01,114.90685723303828
2017-06-05,114.96029586163044
2017-06-06,114.91354495565199
2017-06-07,114.94047322342122
2017-06-12,114.97401050187878
2017-06-26,114.88890124687326
2017-06-27,114.90288220324729
2017-06-28,114.86123170152038
2017-06-29,114.86105936518254
2017-06-30,114.858273229942
2017-07-05,114.85755593255458
2017-07-06,114.84667477495678
2017-07-07,114.79991905326743
2017-07-11,114.80176110613904
2017-07-12,114.83587534110933
2017-07-13,114.82342438364074
2017-07-14,114.81242576921397
2017-07-17,114.83522580711045
2017-07-18,114.8472553440573
2017-07-19,114.83627588216969
2017-07-20,114.88313998390866
2017-07-25,113.44534609892327
2017-07-27,113.41687320393903
2017-07-28,113.44531884302054
2017-08-01,113.35163466559332
2017-08-02,113.24183654363809
2017-08-03,113.2648953340248
2017-08-04,113.22307559593764
2017-08-08,113.259104509797
2017-08-09,113.31113888324596
2017-08-17,113.32869776747376
2017-08-18,113.28828944274076
2017-08-22,113.36565818538836
2017-08-23,113.39258849386418
2017-08-24,113.35431511404191
2017-08-25,113.31557099739602
2017-08-30,113.19504812401462
2017-08-31,113.23478423095163
2017-09-06,113.13830904785426
2017-09-07,113.2543536890035
2017-09-08,113.05274887671608
2017-12-28,112.96503514914775
2018-01-02,112.77059874839763
2018-01-04,112.87606557013345
2018-01-05,112.85724194695388
2018-01-10,112.88800975609334
2018-01-11,112.91354894928638
2018-01-15,112.9364261724447
2018-01-17,112.9390627129726
2018-01-18,112.8177319710536
2018-01-19,112.78930828862144
2018-01-22,112.80160238914596
2018-01-24,112.91843573583186
2018-01-25,113.11604752305715
2018-02-01,112.95038795883625
2018-02-02,112.92135871541169
2018-02-05,112.93389698201854
2018-02-06,112.86178889918565
2018-02-08,112.90622156024226
2018-02-09,112.84817132843104
2018-02-27,112.584055232206
2018-02-28,112.7117546364541
2018-03-02,112.61172433589198
2018-03-06,112.52975835913384
2018-03-07,112.56269900261739
2018-03-09,112.61369609487437
2018-03-13,112.66485175574046
2018-03-14,112.86629400204042
2018-03-15,112.78585204606723
2018-03-16,112.74723133038071
2018-03-20,112.84901495189641
2018-03-21,112.7648045102458
2018-03-22,112.78430792146008
2018-03-23,112.7246066625528
2018-03-29,112.41096156829624
2018-03-30,112.43436735348263
2018-04-04,112.56877710528592
2018-04-09,112.30475184556079
2018-04-10,112.46686842285565
2018-04-11,112.30588270412218
2018-04-17,112.2714846742158
2018-04-18,112.07482609372114
2018-04-23,112.2085899658061
2018-04-24,112.19539934275569
2018-04-27,112.17191315317045
2018-05-02,112.42786339644944
2018-05-04,112.18056123651601
2018-05-07,111.94214732523362
2018-05-08,112.67958934876717
2018-05-09,112.54509265398738
2018-05-15,112.59965019981313
2018-05-16,112.655211133649
2018-05-17,113.34487823788825
2018-05-18,112.72627699658271
2018-05-22,113.54316300815566
2018-05-24,113.85828734400667
2018-05-25,113.63859253547328
2018-05-30,113.62521786088821
2018-06-01,113.94509596533271
2018-06-04,113.76575364792936
2018-06-05,113.81857748599542
2018-06-07,113.62650622189183
2018-06-08,113.81604753880046
2018-06-11,113.77938434752552
2018-06-12,113.9296503144628
2018-06-13,113.97704389955199
2018-06-14,113.93493845231366
2018-06-15,113.75789926869331
2018-06-20,113.99819691692754
2018-06-21,113.91437721703367
2018-06-25,114.11631168843215
2018-06-26,114.2508299653033
2018-06-28,114.31954940998656
2018-06-29,114.52603995943743
2018-07-02,114.25493607005251
2018-07-05,114.27590775824355
2018-07-06,114.70658228533335
2018-07-09,114.4224049233717
2018-07-10,115.14362528184185
2018-07-20,114.90429229683714
2018-07-23,115.12687897604275
2018-07-24,115.0429462778003
2018-07-26,114.46704194573208
2018-07-27,114.55234221316586
2018-07-30,114.53015393109081
2018-07-31,114.58903063720658
2018-08-01,114.55640990524579
2018-08-02,114.65138783376534
2018-08-03,114.36499425252703
2018-08-06,114.5023238588476
2018-08-07,114.50408028587216
2018-08-08,114.67862316137433
2018-08-10,114.48046806083943
2018-08-13,114.292237466652
2018-08-16,114.01687770919067
2018-08-17,114.05171976521638
2018-08-20,114.35310460294986
2018-08-21,114.9800681011705
2018-08-22,115.5293428596902
2018-08-23,116.08745667086792
2018-08-24,116.16583641706615
2018-08-27,116.45547466373911
2018-08-28,116.1562746876459
2018-08-30,115.9644337214634
2018-08-31,116.08809939374775
2018-09-05,116.24705247628997
2018-09-06,116.35288427014405
2018-09-07,116.2401661741236
2018-09-10,116.24056400549922
2018-09-11,116.38358314730273
2018-09-12,116.35142848103399
