,EU
2016-04-05,100.0
2016-04-06,99.96916803568944
2016-04-07,99.9988143220168
2016-04-08,99.96804565613162
2016-04-11,99.87423436753305
2016-04-12,99.88926999702237
2016-04-13,100.16456370141442
2016-04-14,100.16456370141442
2016-04-15,100.16456370141442
2016-04-18,100.13239902936138
2016-04-19,100.01312670442881
2016-04-20,100.12305223633129
2016-04-21,100.13278352134596
2016-04-22,99.78207856361267
2016-04-25,99.89546092481383
2016-04-26,100.06240127057895
2016-04-27,100.02961717759004
2016-04-28,100.33551193848913
2016-04-29,100.41409939083718
2016-05-02,100.41409939083718
2016-05-03,100.41409939083718
2016-05-04,100.41409939083718
2016-05-05,100.41409939083718
2016-05-06,100.37924672304072
2016-05-09,100.5365464471696
2016-05-10,100.55334289454258
2016-05-11,100.51552162879076
2016-05-12,100.61203448766172
2016-05-13,100.51822411074616
2016-05-16,100.45673521483344
2016-05-17,100.47253680065913
2016-05-18,100.47253680065913
2016-05-19,100.43278601016654
2016-05-20,100.61648566246862
2016-05-23,100.91688141507944
2016-05-24,101.14871543467581
2016-05-25,100.97164048124445
2016-05-26,101.20554341064107
2016-05-27,101.20554341064107
2016-05-30,101.16462789249397
2016-05-31,101.46344899264467
2016-06-01,101.51578802131897
2016-06-02,101.60727480697223
2016-06-03,101.45695092441372
2016-06-06,101.41543749907893
2016-06-07,101.46105819565246
2016-06-08,101.35837954269644
2016-06-09,101.31029192466772
2016-06-10,101.422463109701
2016-06-13,101.29311051959566
2016-06-14,101.2591301428588
2016-06-15,101.13648012293544
2016-06-16,100.9289160229008
2016-06-17,100.36353872360048
2016-06-20,100.09169049139442
2016-06-21,100.6155234074591
2016-06-22,100.55239580666189
2016-06-23,99.94036582191461
2016-06-24,101.27195582630866
2016-06-27,100.94373459971145
2016-06-28,100.80045640681605
2016-06-29,100.99315507802125
2016-06-30,101.06284964229431
2016-07-01,101.06284964229431
2016-07-04,101.06284964229431
2016-07-05,101.06284964229431
2016-07-06,101.06284964229431
2016-07-07,101.06284964229431
2016-07-08,101.02323842378529
2016-07-11,101.20716893381858
2016-07-12,101.1685042743839
2016-07-13,101.91884137762868
2016-07-14,102.12744812480581
2016-07-15,102.15411474372014
2016-07-18,102.11802081978736
2016-07-19,102.07512353581134
2016-07-20,102.26074672097407
2016-07-21,102.3096730303774
2016-07-22,102.27334148211267
2016-07-25,102.3344410184704
2016-07-26,102.46851569073829
2016-07-27,102.43142212927513
2016-07-28,102.75823746993989
2016-07-29,102.74011349625324
2016-08-01,102.55468475467708
2016-08-02,102.7082280967265
2016-08-03,102.67201287272991
2016-08-04,102.92292921846828
2016-08-05,102.93371865252645
2016-08-08,103.08962256698035
2016-08-09,103.02173692391017
2016-08-10,103.10213399305323
2016-08-11,103.06640347517062
2016-08-12,103.11555673332413
2016-08-15,103.09889695849247
2016-08-16,103.32420147723921
2016-08-17,103.41890148501078
2016-08-18,103.6210197201485
2016-08-19,103.6210197201485
2016-08-22,103.5847508378581
2016-08-23,103.22056306760123
2016-08-24,103.23148297551631
2016-08-25,103.30752217996964
2016-08-26,103.23975897905353
2016-08-29,103.23027136347582
2016-08-30,102.97435227999215
2016-08-31,103.1951772618078
2016-09-01,103.12719481512545
2016-09-02,102.98503784054127
2016-09-05,103.28261286413066
2016-09-06,103.46342703246707
2016-09-07,103.46342703246707
2016-09-08,103.46342703246707
2016-09-09,103.42871046837993
2016-09-12,103.74829756071166
2016-09-13,103.74829756071166
2016-09-14,103.74829756071166
2016-09-15,103.74829756071166
2016-09-16,103.71270132632868
2016-09-19,104.01918204488325
2016-09-20,103.98310131054917
2016-09-21,104.1685328451747
2016-09-22,104.41577375236244
2016-09-23,104.41577375236244
2016-09-26,104.41577375236244
2016-09-27,104.41577375236244
2016-09-28,104.41577375236244
2016-09-29,104.41577375236244
2016-09-30,104.37558541386325
2016-10-03,104.72866969129761
2016-10-04,104.689140689371
2016-10-05,104.87226852191984
2016-10-06,104.9430719223167
2016-10-07,104.90109856322995
2016-10-10,105.10227268924768
2016-10-11,105.05654938836346
2016-10-12,105.54323599377678
2016-10-13,106.07323552715384
2016-10-14,106.03052305870516
2016-10-17,105.79262175830972
2016-10-18,106.11091507586832
2016-10-19,106.16744080066229
2016-10-20,106.16744080066229
2016-10-21,106.12438607160671
2016-10-24,106.23833678598041
2016-10-25,105.9563443736807
2016-10-26,105.79424386997758
2016-10-27,105.97412414464775
2016-10-28,105.97412414464775
2016-10-31,105.93006324370823
2016-11-01,105.81419184026923
2016-11-02,105.9097048182329
2016-11-03,105.9097048182329
2016-11-04,105.86508222940161
2016-11-07,106.01863351805223
2016-11-08,105.97425893998593
2016-11-09,106.07371529397558
2016-11-10,106.55938744733471
2016-11-11,106.51646715773435
2016-11-14,106.28828966155181
2016-11-15,106.24826397288447
2016-11-16,105.99617929032459
2016-11-17,106.3009278560997
2016-11-18,106.3009278560997
2016-11-21,106.3009278560997
2016-11-22,106.25908514693717
2016-11-23,106.36224636586363
2016-11-24,106.32273912150738
2016-11-25,106.76649620008365
2016-11-28,106.72749864426746
2016-11-29,106.36018026943947
2016-11-30,106.15810604512457
2016-12-01,106.39445235947669
2016-12-02,106.54976662740745
2016-12-05,106.4070076177359
2016-12-06,106.97371731913412
2016-12-07,106.97371731913412
2016-12-08,106.97371731913412
2016-12-09,106.93801645320539
2016-12-12,107.31956865363057
2016-12-13,107.31956865363057
2016-12-14,107.31956865363057
2016-12-15,107.31956865363057
2016-12-16,107.31956865363057
2016-12-19,107.28373953739367
2016-12-20,107.4959006235446
2016-12-21,107.46002481634387
2016-12-22,107.46655811073327
2016-12-23,107.43070288250426
2016-12-27,106.77687513055758
2016-12-28,107.40400927962594
2016-12-29,107.37062795126143
2016-12-30,107.60950880477063
2017-01-02,107.58258005954798
2017-01-03,107.70151165186054
2017-01-04,107.66766284761728
2017-01-05,107.25744335587748
2017-01-06,107.32490169667753
2017-01-09,107.12860455665361
2017-01-10,107.12744776506781
2017-01-11,107.1464246301964
2017-01-12,107.3816574708977
2017-01-13,107.49742011742482
2017-01-16,107.60376095689683
2017-01-17,107.31111201153848
2017-01-18,107.02434698772252
2017-01-19,107.01075699160876
2017-01-20,107.0227238749897
2017-01-23,107.16167827875394
2017-01-24,107.09883807601999
2017-01-25,106.64698359738927
2017-01-26,106.42281627789598
2017-01-27,106.42494115256729
2017-01-30,106.40290641090273
2017-01-31,106.45013046127163
2017-02-01,106.58263498701692
2017-02-02,106.58263498701692
2017-02-03,106.54857538848171
2017-02-06,107.01877560004576
2017-02-07,107.11984665234948
2017-02-08,107.11984665234948
2017-02-09,107.11984665234948
2017-02-10,107.11984665234948
2017-02-13,107.11984665234948
2017-02-14,107.08543172214901
2017-02-15,106.96687141015275
2017-02-16,106.9322439999766
2017-02-17,106.9017746179304
2017-02-20,106.99756013685126
2017-02-21,107.07212715835578
2017-02-22,107.07212715835578
2017-02-23,107.03424681289209
2017-02-24,107.23193140645586
2017-02-27,107.26743115600412
2017-02-28,107.58064131154845
2017-03-01,107.72122749646482
2017-03-02,108.14929834193276
2017-03-03,107.65191153784389
2017-03-06,107.62992220476988
2017-03-07,107.81044149585111
2017-03-08,107.51886232828312
2017-03-09,106.65941875550631
2017-03-10,105.56635623884002
2017-03-13,105.78238001485147
2017-03-14,106.1441129294973
2017-03-15,106.21513705425852
2017-03-16,106.10311167624936
2017-03-17,106.26738981624706
2017-03-20,106.23414643900236
2017-03-21,106.03222272141548
2017-03-22,106.16310211173293
2017-03-23,106.08251449564474
