,India
2016-04-20,100.00129347336488
2016-04-21,100.09063238835752
2016-04-22,100.36072128133941
2016-04-26,100.44800314023024
2016-04-27,100.46811146355714
2016-04-28,100.46811146355714
2016-04-29,100.41921902859447
2016-05-04,101.31895083938434
2016-05-05,101.27979428942595
2016-05-06,101.30358374442865
2016-05-09,101.54631393892075
2016-05-10,101.46634907515737
2016-05-12,101.45977563787989
2016-05-13,101.34029088784196
2016-05-16,101.28466107516721
2016-05-17,101.45403852591295
2016-05-18,101.69998849725187
2016-05-19,102.04311697562419
2016-05-20,102.18145230528573
2016-05-23,102.70892570520023
2016-05-24,102.57526510043289
2016-05-25,102.4752003089991
2016-05-26,102.4752003089991
2016-06-01,102.4752003089991
2016-06-02,102.4752003089991
2016-06-03,102.4752003089991
2016-06-06,102.43691979870775
2016-06-07,102.97193111680991
2016-06-10,103.49803071961014
2016-06-13,103.75485786441794
2016-06-14,103.75485786441794
2016-06-16,103.75485786441794
2016-06-20,103.72008961392629
2016-06-22,104.22821704532026
2016-06-23,104.2916694484483
2016-06-24,104.28440069525608
2016-06-27,104.61414319637983
2016-06-28,104.61414319637983
2016-06-29,104.61414319637983
2016-06-30,104.5809147838703
2016-07-01,104.66476722165474
2016-07-04,104.65722579324988
2016-07-05,104.56230869698966
2016-07-07,104.5964554450386
2016-07-08,104.26736001157968
2016-07-11,104.30606261066804
2016-07-12,104.29954733105231
2016-07-13,104.25864387965997
2016-07-14,104.34672959356972
2016-07-15,104.54475608765918
2016-07-18,104.54475608765918
2016-07-19,104.54475608765918
2016-07-20,104.54475608765918
2016-07-21,104.54475608765918
2016-07-22,104.50875058523319
2016-07-25,104.86150151281115
2016-07-26,104.6868314610686
2016-07-27,104.6868314610686
2016-07-28,104.6868314610686
2016-07-29,104.65088463581156
2016-08-01,104.77146357915753
2016-08-02,104.73544105229439
2016-08-03,104.8743746580888
2016-08-04,104.81204370522808
2016-08-08,104.80807956884095
2016-08-09,104.85774164783844
2016-08-10,104.85774164783844
2016-08-11,104.8217532924224
2016-08-12,105.1001747397146
2016-08-22,104.64539508146164
2016-08-23,105.16808195771337
2016-08-24,105.14574772612686
2016-08-29,105.07316915506229
2016-08-30,105.07055604103893
2016-08-31,105.1408098349587
2016-09-01,105.34149707307347
2016-09-02,105.34149707307347
2016-09-06,105.34149707307347
2016-09-07,105.34149707307347
2016-09-12,105.3011602853192
2016-09-14,105.36347425771275
2016-09-15,105.36347425771275
2016-09-16,105.36347425771275
2016-09-19,105.36347425771275
2016-09-20,105.36347425771275
2016-09-22,105.36347425771275
2016-09-23,105.36347425771275
2016-09-26,105.36347425771275
2016-09-27,105.32090998538253
2016-09-29,105.52236947704021
2016-09-30,105.52236947704021
2016-10-03,105.52236947704021
2016-10-04,105.47348761531663
2016-10-05,105.32207664780793
2016-10-06,105.52268205882581
2016-10-07,105.81462068957175
2016-10-10,105.97616997271066
2016-10-14,105.97616997271066
2016-10-17,105.92418468094793
2016-10-18,105.9006403640696
2016-10-19,105.77748715165514
2016-10-21,105.83900579478104
2016-10-24,105.9424545548884
2016-10-25,105.8876577276442
2016-10-26,106.40572030505855
2016-10-27,106.66834199472291
2016-10-28,106.70974389970196
2016-11-01,106.70974389970196
2016-11-02,106.65615277627872
2016-11-03,106.80606549867571
2016-11-08,106.80606549867571
2016-11-09,106.80606549867571
2016-11-10,106.75298673631586
2016-11-11,107.04451809803888
2016-11-15,107.38612942904248
2016-11-16,107.38612942904248
2016-11-17,107.33258875881937
2016-11-18,107.8389524144131
2016-11-21,107.72559919072431
2016-11-22,107.72559919072431
2016-11-23,107.67109363613005
2016-11-24,107.91461019995707
2016-11-25,107.91461019995707
2016-11-28,107.91461019995707
2016-11-29,107.91461019995707
2016-11-30,107.86136156292305
2016-12-01,108.45554668879672
2016-12-02,108.45554668879672
2016-12-05,108.45554668879672
2016-12-06,108.4045946870114
2016-12-07,108.420171736042
2016-12-08,108.6365154671547
2016-12-09,107.58715078517804
2016-12-14,107.61019656697486
2016-12-15,107.72466540452999
2016-12-16,107.74408712837386
2016-12-21,107.50793752789056
2016-12-30,107.83396959566281
2017-01-02,107.61873407236118
2017-01-03,107.38300052187539
2017-01-04,107.41401162213107
2017-01-05,107.41280011180557
2017-01-06,107.49546882318408
2017-01-09,107.85990666579453
2017-01-10,107.85990666579453
2017-01-11,107.85990666579453
2017-01-12,107.85990666579453
2017-01-13,107.81113320502888
2017-01-16,108.38612563367418
2017-01-17,108.65028670808911
2017-01-18,108.60447782346712
2017-01-19,108.55513892064043
2017-01-20,108.81867694473999
2017-01-23,108.68421069784165
2017-01-24,108.64915006135105
2017-01-25,108.55059454461254
2017-01-30,108.1574584349726
2017-01-31,108.666083293101
2017-02-01,108.77725806365599
2017-02-02,108.73479925755971
2017-02-03,108.73093587359122
2017-02-07,109.10307790232639
2017-02-08,109.08651813155386
2017-02-09,108.39179208308678
2017-02-10,109.61348810345683
2017-02-13,110.18458490988505
2017-02-14,110.75757586449582
2017-02-17,111.42697961623543
2017-02-20,111.59962853118518
2017-02-22,111.5691940057919
2017-02-23,111.99644265561972
2017-02-28,111.99644265561972
2017-03-01,111.96725834623524
2017-03-07,112.51252673519197
2017-03-08,112.51252673519197
2017-03-09,112.51252673519197
2017-03-10,112.51252673519197
2017-03-14,112.51252673519197
2017-03-15,112.51252673519197
2017-03-16,112.51252673519197
2017-03-17,112.51252673519197
2017-03-20,112.51252673519197
2017-03-21,112.51252673519197
2017-03-22,112.51252673519197
2017-03-23,112.48423403226566
2017-03-24,112.49120669389295
2017-03-27,112.50690566704347
2017-03-29,112.53743231163646
2017-03-30,112.24370983419647
2017-03-31,112.57608617626684
2017-04-03,112.54686655954336
2017-04-05,112.51907522016973
2017-04-06,112.5742524528131
2017-04-07,112.5742524528131
2017-04-10,112.5742524528131
2017-04-11,112.5742524528131
2017-04-13,112.5742524528131
2017-04-17,112.5742524528131
2017-04-18,112.54516685920433
2017-04-19,112.75592409525021
2017-04-20,112.72682481118044
2017-04-21,112.8543750274782
2017-04-24,112.8543750274782
2017-04-25,112.8252456789569
2017-04-26,112.97683504370546
2017-04-27,112.9153805034205
2017-04-28,112.9153805034205
2017-05-02,112.88621792139631
2017-05-03,113.0821770416008
2017-05-04,113.05331958082205
2017-05-05,113.0742471383192
2017-05-08,113.11814715947179
2017-05-09,113.02525616897402
2017-05-10,113.0808598415469
2017-05-11,113.0065180531231
2017-05-12,113.33076157565083
2017-05-15,113.33076157565083
2017-05-16,113.30133971505644
2017-05-17,113.38552547209335
2017-05-18,113.26966134165288
2017-05-19,113.37514932682915
2017-05-22,113.30666811926608
2017-05-23,113.28209638238175
2017-05-24,113.35984921079118
2017-05-25,113.35984921079118
2017-05-26,113.3292415901211
2017-05-30,113.4525286581525
2017-05-31,113.4525286581525
2017-06-01,113.41585882366702
2017-06-02,113.57945661005209
2017-06-05,113.37163171975233
2017-06-06,113.53461339243233
2017-06-07,113.398070564985
2017-06-08,113.48718296177655
2017-06-09,113.06197288180637
2017-06-12,113.46635936168057
2017-06-13,113.41608531015801
2017-06-14,113.57212680059705
2017-06-15,113.57212680059705
2017-06-16,113.57212680059705
2017-06-19,113.52031795169373
2017-06-20,113.59741643799688
2017-06-21,113.90107345537082
2017-06-22,113.84930812925332
2017-06-23,113.57600583208031
2017-06-27,113.82179309428977
2017-06-28,113.62184887187439
2017-06-29,113.63262687593405
2017-06-30,113.7966801399266
2017-07-03,114.04859395432464
2017-07-04,113.96741203944687
2017-07-05,114.31764292690887
2017-07-06,114.26348508848537
2017-07-07,114.57157794417235
2017-07-10,114.52211572167377
2017-07-11,115.59802437512585
2017-07-12,115.35753884689434
2017-07-13,115.31320226893
2017-07-19,115.40761360355663
2017-07-21,115.40761360355663
2017-07-24,115.40761360355663
2017-07-25,115.40761360355663
2017-07-26,115.36225182990935
2017-07-27,115.8692596810027
2017-07-31,115.4819641680431
2017-08-01,115.4819641680431
2017-08-02,115.4819641680431
2017-08-03,115.4377290791319
2017-08-04,115.51075054447568
2017-08-07,115.1797041255785
2017-08-08,115.86491352523704
2017-08-10,115.17054045590469
2017-08-11,115.80650806313231
2017-08-16,115.23658988260583
2017-08-18,115.50651207685215
2017-08-21,115.46819199616894
2017-08-22,115.81736781809803
2017-08-23,115.80788608269128
2017-08-24,115.7870204321652
2017-08-29,116.00526164997942
2017-08-31,116.00526164997942
2017-09-01,116.00526164997942
2017-09-05,116.00526164997942
2017-09-06,116.00526164997942
2017-09-07,116.00526164997942
2017-09-11,116.00526164997942
2017-09-12,116.00526164997942
2017-09-13,116.00526164997942
2017-09-14,116.00526164997942
2017-09-15,115.96593206757181
2017-09-18,116.39978994589264
2017-09-20,116.25108561763004
2017-09-21,116.2124765560313
2017-09-22,116.2115208971271
2017-09-25,116.42049665908188
2017-09-26,116.47258834086361
2017-09-27,116.47258834086361
2017-09-28,116.47258834086361
2017-09-29,116.47258834086361
2017-10-03,116.43324529264387
2017-10-04,116.26573522679939
2017-10-05,116.33519644575838
2017-10-06,116.38095341890502
2017-10-11,116.12857567000556
2017-10-12,116.34968804639931
2017-10-13,116.22990340331738
2017-10-16,116.2992111163289
2017-10-17,116.20887722613111
2017-10-18,116.65178887455905
2017-10-23,116.61292733199701
2017-10-24,117.31118921812018
2017-10-25,117.1274978122127
2017-10-26,117.33499426706236
2017-10-27,117.33499426706236
2017-10-30,117.33499426706236
2017-10-31,117.33499426706236
2017-11-01,117.33499426706236
2017-11-02,117.29627237546862
2017-11-03,117.49980590687281
2017-11-07,117.45872918739187
2017-11-08,117.69065939071976
2017-11-09,117.69065939071976
2017-11-10,117.65009985765036
2017-11-13,118.02175497238652
2017-11-14,117.98175713967734
2017-11-15,118.41388818086875
2017-11-16,119.05022138200736
2017-11-17,119.11998635240582
2017-11-20,119.33408195378736
2017-11-21,119.33408195378736
2017-11-22,119.295743858782
