,Mexico
2017-02-28,99.94745810887622
2017-03-01,99.9075963667897
2017-03-02,100.07865263631017
2017-03-03,99.75683710645082
2017-03-06,99.97100329598636
2017-03-07,99.8556974991524
2017-03-08,100.25119148879185
2017-03-09,100.01433298382476
2017-03-10,100.38394777526645
2017-03-13,100.37555300244998
2017-03-14,100.30274043596343
2017-03-15,100.50329945412489
2017-03-16,100.30757679604092
2017-03-17,100.56261490548235
2017-03-21,100.4367460740671
2017-03-22,100.46313063468347
2017-03-23,100.07889811369857
2017-03-24,100.14460019477136
2017-03-27,100.17448711768225
2017-03-28,100.2636514760565
2017-03-29,100.25984097463805
2017-03-30,100.09454943586643
2017-03-31,100.25525034105169
2017-04-03,100.40579533669333
2017-04-04,100.3711874196458
2017-04-05,100.09765436085856
2017-04-06,100.2155391000236
2017-04-07,100.41355017186785
2017-04-10,100.48479494122734
2017-04-11,100.34597232490474
2017-04-12,100.5834171341744
2017-04-17,100.64399588649063
2017-04-18,100.56332237328445
2017-04-19,100.67012285266397
2017-04-20,100.51204842329193
2017-04-21,100.5656849015982
2017-04-24,100.37869417449667
2017-04-25,100.54807411762505
2017-04-26,100.42944185639185
2017-04-27,100.48355819260581
2017-04-28,100.66126366917291
2017-05-02,100.867004086895
2017-05-03,100.96717310252698
2017-05-04,101.11252395033881
2017-05-05,101.26914864637222
2017-05-08,101.10407522729292
2017-05-09,101.05556629030134
2017-05-10,101.1457591210205
2017-05-11,101.20633367298409
2017-05-12,101.115999010974
2017-05-15,101.19601014569952
2017-05-16,101.16470005850388
2017-05-17,101.03934380618749
2017-05-18,101.33837555087777
2017-05-19,101.09301691899977
2017-05-22,101.17282984186934
2017-05-23,101.61983154567413
2017-05-24,101.79608916963147
2017-05-25,101.61816103795091
2017-05-26,101.57025095357241
2017-05-30,101.67911915126737
2017-05-31,101.46449414161363
2017-06-01,101.36332615706038
2017-06-02,101.61997764231899
2017-06-05,101.77223300553145
2017-06-06,101.62022078007193
2017-06-07,101.84274763905049
2017-06-08,102.15283266168855
2017-06-09,102.01785166070721
2017-06-12,102.02279678229533
2017-06-13,101.94580982658981
2017-06-14,101.96132774268874
2017-06-15,102.3289066065157
2017-06-16,103.58857052813077
2017-06-19,103.43445151472821
2017-06-20,103.50716382808893
2017-06-21,103.40156683174837
2017-06-22,103.23780276685743
2017-06-23,101.36063877371649
2017-06-26,101.08191108428035
2017-06-27,101.40169492577861
2017-06-28,101.51783410271611
2017-06-29,101.33476148283079
2017-06-30,101.47612885919513
2017-07-03,101.45875511648622
2017-07-04,101.13427030929714
2017-07-05,101.46579381995538
2017-07-06,101.70514283473658
2017-07-07,101.50879193870799
2017-07-10,101.24959860491667
2017-07-11,101.13745129380757
2017-07-12,101.0990536258858
2017-07-13,101.21975757959245
2017-07-14,100.9472346233174
2017-07-17,101.01579196033516
2017-07-18,101.21717036245855
2017-07-19,101.21821867681592
2017-07-20,101.23253457723575
2017-07-21,101.36702696835394
2017-07-24,101.36414865903684
2017-07-25,101.44417154194716
2017-07-26,101.42592040243758
2017-07-27,101.51063866925121
2017-07-28,101.57675466861447
2017-07-31,101.64567419172185
2017-08-01,102.09570353586331
2017-08-02,102.21029324766285
2017-08-03,102.05288950485394
2017-08-04,102.24361894242683
2017-08-07,102.13039096649199
2017-08-08,102.1102110608564
2017-08-09,101.95633727398405
2017-08-10,101.79689619115881
2017-08-11,101.65784505631592
2017-08-14,101.70562162313794
2017-08-15,101.61198884848052
2017-08-16,101.66877494473037
2017-08-17,101.54919775273994
2017-08-18,101.53350631541022
2017-08-21,101.58346291768669
2017-08-22,101.65325591160743
2017-08-23,101.7739871521111
2017-08-24,101.89698925622517
2017-08-25,102.00644563854482
2017-08-28,101.90419379846256
2017-08-29,101.76139116757206
2017-08-30,101.82719520272849
2017-08-31,101.81021318206656
2017-09-01,101.75205679056627
2017-09-05,101.72096612765304
2017-09-06,101.8106666422536
2017-09-07,101.21657422199807
2017-09-08,100.91762796559831
2017-09-11,100.8343937144359
2017-09-12,100.88650438630114
2017-09-13,100.86168300793032
2017-09-14,101.05201041149623
2017-09-15,101.08767752639953
2017-09-18,101.24899574498288
2017-09-19,101.27605881403422
2017-09-20,101.36138235712251
2017-09-21,101.10010187475855
2017-09-22,101.01570072179551
2017-09-25,101.13312296726984
2017-09-26,101.08703639197125
2017-09-27,101.00466197705924
2017-09-28,101.12213820304723
2017-09-29,100.9444891286539
2017-10-02,101.00161703709634
2017-10-03,101.03065835494931
2017-10-04,101.22360105063856
2017-10-05,101.52170489373991
2017-10-06,101.5963689228091
2017-10-09,101.18719201954724
2017-10-10,100.90348406795965
2017-10-11,101.45783777217822
2017-10-12,102.58082385044465
2017-10-13,102.14574319907935
2017-10-16,101.51029996546102
2017-10-17,101.6991155092303
2017-10-18,101.91510513665945
2017-10-19,102.37019747367897
2017-10-20,102.59128325837365
2017-10-23,102.86462691478128
2017-10-24,102.76286344745525
2017-10-25,102.65768837951319
2017-10-26,102.27928745428432
2017-10-27,102.14090056202313
2017-10-30,102.31848332248816
2017-10-31,102.1964621950028
2017-11-01,102.20112052118775
2017-11-02,102.06166682045765
2017-11-03,102.03638372759703
2017-11-06,101.92523933563481
2017-11-07,101.90120579905538
2017-11-08,101.69050407391809
2017-11-09,101.60415725562521
2017-11-10,101.62168366054493
2017-11-13,101.679458487086
2017-11-14,101.82985874130407
2017-11-15,101.87757161259023
2017-11-16,101.85956530971745
2017-11-17,101.86043015682486
2017-11-21,101.94894043219855
2017-11-22,101.95226239337778
2017-11-23,102.13763257709604
2017-11-24,102.79524028322999
2017-11-27,102.80829208331312
2017-11-28,102.62324338169073
2017-11-29,102.6375831965726
2017-11-30,102.69146909982902
2017-12-01,102.80611756877467
2017-12-04,103.06173196574555
2017-12-05,103.15920533040135
2017-12-06,103.33822527356801
2017-12-07,103.16308836100461
2017-12-08,103.25058485559504
2017-12-11,103.30229338057954
2017-12-12,103.86008078211665
2017-12-13,103.54530978396812
2017-12-14,103.88052642156748
2017-12-15,104.50510381950558
2017-12-18,104.55539319353441
2017-12-19,104.61270533766395
2017-12-20,104.28681117592038
2017-12-21,104.12196563843882
2017-12-22,104.24947468847651
2017-12-26,104.0081863940302
2017-12-27,104.1302238625363
2017-12-28,104.00151101251967
2017-12-29,103.94234103357174
2018-01-02,103.50703158719719
2018-01-03,103.13790159343836
2018-01-04,102.9475103091112
2018-01-05,103.02237093659873
2018-01-08,102.92507992067364
2018-01-09,103.08862980935925
2018-01-10,103.23161366418292
2018-01-11,102.62718993436279
2018-01-12,102.50822561630228
2018-01-16,102.18227925155925
2018-01-17,102.26079050452523
2018-01-18,102.2597874813922
2018-01-19,102.485496881736
2018-01-22,102.48013535483686
2018-01-23,102.35341435806316
2018-01-24,101.42226024473825
2018-01-25,101.51958025426799
2018-01-26,101.9495045576328
2018-01-29,102.20660278212843
2018-01-30,102.04201603793481
2018-01-31,101.64084031459804
2018-02-01,101.61196739286729
2018-02-02,101.62977937222371
2018-02-06,101.87684871115319
2018-02-07,102.13373784573913
2018-02-08,101.56411433400496
2018-02-09,101.41139236258275
2018-02-12,101.45950805142239
2018-02-13,101.3623681199671
2018-02-14,101.40715137891883
2018-02-15,101.17239451403097
2018-02-16,101.28900293631331
2018-02-20,101.52877444291634
2018-02-21,101.72615580556561
2018-02-22,102.25516286275078
2018-02-23,102.21437824699335
2018-02-26,102.32658442121227
2018-02-27,102.3660023712064
2018-02-28,102.3691866634378
2018-03-01,102.29757802696713
2018-03-02,102.56880323540534
2018-03-05,102.44205643481108
2018-03-06,102.18185449453729
2018-03-07,102.30607741929101
2018-03-08,102.47768375794672
2018-03-09,102.56027717139256
2018-03-12,102.35408320707909
2018-03-13,102.45698765197795
2018-03-14,102.34970083910169
2018-03-15,102.39457413112896
2018-03-16,102.29424867893148
2018-03-20,102.22564684487101
2018-03-21,102.80524729224318
2018-03-22,102.49173873134512
2018-03-23,102.49478027124243
2018-03-26,102.59441017571937
2018-03-27,102.68842043835676
2018-03-28,102.75103917011579
2018-04-02,102.7323156729456
2018-04-03,102.77506701662065
2018-04-04,102.79550604029947
2018-04-05,102.57688522996008
2018-04-06,102.70262410974382
2018-04-09,102.72858385669521
2018-04-10,102.98733773020732
2018-04-11,103.05109129655925
2018-04-12,103.0358003806299
2018-04-13,103.14372797415206
2018-04-16,103.08814580713681
2018-04-17,102.96694546848724
2018-04-18,103.3142836615387
2018-04-19,103.48995711018706
2018-04-20,103.67392160685512
2018-04-23,103.55719130471235
2018-04-24,103.52133265732697
2018-04-25,103.5664017972116
2018-04-26,103.34903275106673
2018-04-27,103.51788747392405
2018-04-30,103.38004338941191
2018-05-02,103.50580047808413
2018-05-03,103.65307163901585
2018-05-04,103.72608181653456
2018-05-07,103.86632130403584
2018-05-08,104.39512588597175
2018-05-09,104.43015198615863
2018-05-10,104.10005879864886
2018-05-11,104.57212102966645
2018-05-14,104.50267214526123
2018-05-15,105.12860364106554
2018-05-16,104.93609099674669
2018-05-17,104.96979923359235
2018-05-18,105.33577778463712
2018-05-21,105.42369458481143
2018-05-22,105.44088347216447
2018-05-23,105.54813220248434
2018-05-24,105.89684518754066
2018-05-25,105.99373821625957
2018-05-29,105.5197087394216
2018-05-30,105.05857895820148
2018-05-31,104.62609839247447
2018-06-01,104.67775829551067
2018-06-04,104.68422297849133
2018-06-05,104.95751355862421
2018-06-06,105.11089287059437
2018-06-07,104.96362517050277
2018-06-08,104.99248341843345
2018-06-11,104.95454630922542
2018-06-12,104.50700994637133
2018-06-13,104.24771924731667
2018-06-14,103.70000719946508
2018-06-15,103.33279899927024
2018-06-18,103.67379058156565
2018-06-19,104.18674465586703
2018-06-20,104.92072294594918
2018-06-21,105.05023806308455
2018-06-22,104.88838440673204
2018-06-25,105.41968572906816
2018-06-26,105.42743471447614
2018-06-27,105.34478821892259
2018-06-28,105.81102601295018
2018-06-29,105.78991063053336
2018-07-02,105.55822643986883
2018-07-03,105.75294690647749
2018-07-05,105.65164108157248
2018-07-06,105.51961090152753
2018-07-09,105.46273032946367
2018-07-10,105.5318840408312
2018-07-11,105.49828123259206
2018-07-12,105.87056516600299
2018-07-13,106.64194058965433
2018-07-16,106.26519919195825
2018-07-17,106.1410879603629
2018-07-18,105.82633928961486
2018-07-19,105.90206001750519
2018-07-20,105.87827121638773
2018-07-23,105.98702595028851
2018-07-24,105.95776756745498
2018-07-25,106.17009597854165
2018-07-26,105.90715138550915
2018-07-30,106.0636119637853
2018-07-31,106.0632604480533
2018-08-01,106.14186901752525
2018-08-02,106.24541885087208
2018-08-03,105.95763558731481
2018-08-06,105.86742582779254
2018-08-07,105.76636866822074
2018-08-08,105.66958787406921
2018-08-09,105.52686581321025
2018-08-10,105.47474720223661
2018-08-13,105.24246543405775
2018-08-14,105.20717946877379
2018-08-15,104.9799195691003
2018-08-16,104.99686327708137
2018-08-17,104.97603913975755
2018-08-20,104.98410351240427
2018-08-21,104.8058393951909
2018-08-22,105.01294273290505
2018-08-23,105.03655120296452
2018-08-24,104.93915772602422
2018-08-27,104.9426651674254
2018-08-28,104.99814603935604
2018-08-29,104.70337023288498
2018-08-30,104.32235187752812
2018-08-31,104.34992607699685
2018-09-04,103.7729127040502
2018-09-05,104.00353553427955
2018-09-06,103.97630922514742
2018-09-07,103.74753874431644
2018-09-10,103.80114469096453
2018-09-11,103.87827085453564
2018-09-12,104.00395336441073
2018-09-13,104.46771420632288
2018-09-14,104.34832098298124
2018-09-17,104.26720529787545
2018-09-18,104.07015798049824
2018-09-19,104.127957422791
2018-09-20,104.1106225670072
2018-09-21,104.19376437319802
2018-09-24,104.5538542183011
2018-09-25,104.44647735828347
2018-09-26,104.76328376165951
2018-09-27,105.0240986313459
2018-09-28,105.24656721043814
2018-10-01,105.20181709618292
2018-10-02,104.84312749285675
2018-10-03,104.9327562258855
2018-10-04,104.43569487621409
2018-10-05,104.47594480247385
2018-10-09,104.498016379083
2018-10-10,104.44811179989628
2018-10-11,104.35813688511072
2018-10-12,104.34705757531442
2018-10-15,104.32137906792431
2018-10-16,104.55128004467964
2018-10-17,104.44791949024885
2018-10-18,104.4014403918621
2018-10-19,104.99564251112893
2018-10-22,105.66954638420142
2018-10-23,105.49840571059023
2018-10-24,105.81218043001581
2018-10-25,105.5254128359075
2018-10-26,105.59863390224959
2018-10-29,106.5768841179393
2018-10-30,106.66662334578334
2018-10-31,107.37891594389811
2018-11-01,106.73987917835098
2018-11-05,107.20273501320993
2018-11-06,107.59592439779647
2018-11-07,107.38852541880317
2018-11-08,107.12396417016625
2018-11-09,107.21505222200602
2018-11-13,107.39878839886177
2018-11-14,107.1060251247481
2018-11-15,107.27022876547355
2018-11-16,107.34602028858168
2018-11-20,107.63523918816853
2018-11-21,107.40948866285636
2018-11-23,107.60998120197793
2018-11-26,107.38478777807741
2018-11-27,107.04776653104172
2018-11-28,107.46463606087818
2018-11-29,107.45842882502656
2018-11-30,107.56732796085333
2018-12-03,107.42765288940987
2018-12-04,107.23924480474447
2018-12-05,107.10796571611915
2018-12-06,107.4348035680871
2018-12-07,107.57779780786876
2018-12-10,107.3666602697041
2018-12-11,107.40397700626743
2018-12-20,107.77456805029671
2018-12-21,107.90826399791354
2018-12-26,107.86404480462434
2018-12-27,107.67742395356011
2018-12-28,107.84848136651613
2019-01-02,108.51188428647573
2019-01-03,108.94309202059969
2019-01-04,108.7204988669551
2019-01-07,108.65899671607677
2019-01-08,108.63040419989518
2019-01-09,108.55045630403247
2019-01-10,107.90012501811748
2019-01-11,107.9837609440818
2019-01-15,108.12003524151213
2019-01-16,108.39819842468764
2019-01-17,108.47096932650486
2019-01-18,108.06620447986558
2019-01-22,107.96041520443067
2019-01-23,108.28916626299213
2019-01-24,107.5217467658228
2019-01-25,107.66461303624457
2019-01-28,107.61867981301185
2019-01-29,107.54017645077101
2019-01-30,107.34592024737401
2019-01-31,107.38892532294828
2019-02-01,107.38811000141868
2019-02-05,107.64747596547059
2019-02-06,107.65428941574353
2019-02-07,107.49892454364375
2019-02-08,107.72593394382525
2019-02-11,107.55525090687294
2019-02-12,107.61619741126978
2019-02-13,107.62303091959701
2019-02-14,107.40604432086892
2019-02-15,107.65902284866303
2019-02-19,107.5995670282923
2019-02-20,107.63318641491118
2019-02-21,107.66817044152586
2019-02-22,107.59964642348929
2019-02-25,107.94456176249112
2019-02-26,107.54745732184172
2019-02-27,107.5485149817891
2019-02-28,107.77235586201725
2019-03-01,107.83251661450444
2019-03-04,108.03588585882179
2019-03-05,108.0321904624852
2019-03-06,107.85991547108532
2019-03-07,107.93379615191373
2019-03-08,108.03183208676997
2019-03-11,108.09932759117822
2019-03-12,108.03230436548506
2019-03-13,107.89629372209161
2019-03-14,108.0325657919139
2019-03-15,108.02684066612889
2019-03-19,108.06497814016085
2019-03-20,108.15017107941453
2019-03-25,108.26791979828685
2019-03-26,108.38488589711805
2019-03-27,108.23634111465734
2019-03-28,108.3931305933891
2019-03-29,108.38565144947962
2019-04-01,108.49309748779899
2019-04-02,108.39106571969911
2019-04-03,108.36888342917644
2019-04-04,108.49797118730864
2019-04-05,108.39117895967895
2019-04-08,108.4646282741615
2019-04-09,108.45676413934872
2019-04-10,108.61211231092153
2019-04-11,108.66272519031494
