,US
2016-04-19,99.840760765965
2016-04-20,99.616548446983
2016-04-21,99.66815758133959
2016-05-04,99.89015641349461
2016-05-05,99.86566251936844
2016-05-09,99.78680478423854
2016-05-11,99.82423583260825
2016-05-12,99.93573620478986
2016-05-13,99.91075467715895
2016-05-16,100.17947927185529
2016-05-20,99.53414586465234
2016-05-23,99.35646841677797
2016-05-24,99.22024842344338
2016-05-25,99.18351519835994
2016-05-27,99.02401566942684
2016-05-31,99.37488258662374
2016-06-01,99.33137402654873
2016-06-02,99.37123587748353
2016-06-03,100.22340680191219
2016-06-06,100.40174748446029
2016-06-07,100.40174748446029
2016-06-08,100.40174748446029
2016-06-09,100.40174748446029
2016-06-10,100.37753008374179
2016-06-13,100.31038205442395
2016-06-14,100.28564690397192
2016-06-15,100.00777237816476
2016-06-16,99.97437658953261
2016-06-20,100.41360353358178
2016-06-22,100.38960771417895
2016-06-24,99.22224655130184
2016-06-27,98.87198186507351
2016-06-28,99.14469165657525
2016-06-29,99.41764643761086
2016-06-30,99.18778739362344
2016-07-05,99.10558274937804
2016-07-06,99.16697420252697
2016-07-08,99.26305386235066
2016-07-11,99.44337289523135
2016-07-14,99.44337289523135
2016-07-18,99.42276794973814
2016-07-19,99.43137012083247
2016-07-20,99.41003191607301
2016-07-21,99.33079988297933
2016-07-22,99.31218328727411
2016-07-25,99.35338448923684
2016-07-26,99.44498263246126
2016-07-27,99.5788882469695
2016-07-28,99.71447761308119
2016-07-29,99.71447761308119
2016-08-01,99.71447761308119
2016-08-02,99.71447761308119
2016-08-03,99.71447761308119
2016-08-04,99.71447761308119
2016-08-05,99.69269690849622
2016-08-08,99.67381564557127
2016-08-09,99.92818606655501
2016-08-10,99.92818606655501
2016-08-11,99.90694903563374
2016-08-12,100.15089427545443
2016-08-15,99.97313554624164
2016-08-16,99.89373217573838
2016-08-17,99.97528181632191
2016-08-18,100.00744601669054
2016-08-19,99.87600260533988
2016-08-22,100.03668685530917
2016-08-23,99.9294212667862
2016-08-24,99.92132074314138
2016-08-25,99.73625413454633
2016-08-26,99.53384239979177
2016-08-29,99.72651917969122
2016-08-30,99.76075546980611
2016-08-31,99.67363496971979
2016-09-01,99.76431710880534
2016-09-06,99.76431710880534
2016-09-07,99.76431710880534
2016-09-08,99.76431710880534
2016-09-09,99.74246124224902
2016-09-12,99.8352145306323
2016-09-13,99.63158847993073
2016-09-14,99.84038694725382
2016-09-15,99.84977863991314
2016-09-16,99.76972033631783
2016-09-19,99.59878553600579
2016-09-20,99.58214654022598
2016-09-21,99.75410031279647
2016-09-23,99.8954058841548
2016-09-26,100.02212463188371
2016-09-27,100.16619762706938
2016-09-29,100.14184244746873
2016-09-30,99.93002999594331
2016-10-03,99.88099626006534
2016-10-05,99.33304181873726
2016-10-06,99.24237028223817
2016-10-07,99.45503164607847
2016-10-11,99.06026810595257
2016-10-12,99.04067293636729
2016-10-13,99.23456162888799
2016-10-14,98.98444489847074
2016-10-17,99.25844318811889
2016-10-18,99.37415840997913
2016-10-19,99.37415840997913
2016-10-20,99.37415840997913
2016-10-21,99.37415840997913
2016-10-24,99.34161331429218
2016-10-25,99.34390345502084
2016-10-26,99.31299107160797
2016-10-27,99.2810055592177
2016-10-28,99.2886558213248
2016-10-31,99.32143628830458
2016-11-01,99.23813229983097
2016-11-03,99.41781271193636
2016-11-04,99.5581049350888
2016-11-07,99.52510364805643
2016-11-08,99.33421415806703
2016-11-09,98.86209461401529
2016-11-10,98.76791531199697
2016-11-14,98.17753054161435
2016-11-15,98.25745282579253
2016-11-16,98.34436328820033
2016-11-18,97.90286051613062
2016-11-21,97.90126506640291
2016-11-22,97.87727578560198
