Factor,Region,AvgPnL_Low,Sharpe_Low,AvgPnL_Mid,Sharpe_Mid,AvgPnL_High,Sharpe_High,Sharpe_Spread
VIX,Brazil,0.00011807891830304312,2.7099327198007526,0.00010113997549306838,2.230077519979463,6.37136288598081e-05,1.3548893162900681,-1.3550434035106844
Gold,Brazil,0.00010412675140577439,2.558237441734967,6.99587014293949e-05,1.2770843629263138,0.00010891508162170328,2.800822280168172,0.242584838433205
Oil,Brazil,8.206942074142262e-05,1.6773733609591026,7.387315217625455e-05,1.695033391879138,0.0001271260990810925,2.93808222899996,1.2607088680408574
DXY,Brazil,8.017134879267163e-05,1.9470705259460648,8.908865832997742e-05,1.6975446895125592,0.00011379277294986172,2.7440088004303793,0.7969382744843145
UST10Y,Brazil,8.221925735564803e-05,1.5069159012482398,0.00011140239394164015,2.716282304280567,8.942827969416393e-05,2.300667370010718,0.793751468762478
VIX,Chile,0.0001547454227357486,2.6893688073509243,9.14901130630714e-05,2.1023307427990656,1.9171133115039922e-05,0.44114256929428397,-2.2482262380566405
Gold,Chile,7.174256358555845e-05,1.5131507052483546,9.619016264951786e-05,2.3212336840521735,9.747394267878365e-05,1.733163377369741,0.22001267212138642
Oil,Chile,7.896805275175009e-05,1.6950859855332925,9.195723648432037e-05,2.212640819401794,9.44813796777895e-05,1.6619834267087337,-0.033102558824558814
DXY,Chile,7.654241860388261e-05,2.144276167322494,7.379482502598406e-05,1.47789044601169,0.00011506942528399328,1.985688741351232,-0.15858742597126207
UST10Y,Chile,6.227572577817172e-05,1.3585875329597317,8.954753087717024e-05,2.21853995540442,0.00011366358051864353,1.9503937662272968,0.5918062332675651
VIX,Colombia,4.5356117633767484e-05,0.6867383327281465,0.0001067072692061512,1.2508618068267368,0.000263578376550325,1.8372342858755648,1.1504959531474181
Gold,Colombia,5.4790995456834715e-05,0.9903345507895494,0.00027572804348060414,1.8865249312467696,8.523046547652036e-05,0.9650295592837189,-0.025304991505830432
Oil,Colombia,0.0001901818288311831,1.675257837369327,1.5983450310940605e-05,0.1967716405139305,0.0002094147749171742,1.854709454687834,0.179451617318507
DXY,Colombia,3.0796844656823056e-05,0.3797462142641249,0.00020280417593754118,1.6937450419054034,0.00018217851404587785,1.7101329021671359,1.3303866879030108
UST10Y,Colombia,0.00019475769373576574,1.4632463043286537,0.00011534756267405166,1.450691602339983,0.00010558068143845765,1.1607429754689695,-0.3025033288596841
VIX,US,4.812261398713384e-05,1.5272630471872763,3.379822830743554e-05,0.8668560864651899,9.325416007549985e-05,1.921800054587045,0.3945370073997687
Gold,US,4.211000870685108e-05,1.298649835425234,0.0001023242589354349,2.2120892342172995,3.067309430483893e-05,0.7502706140621762,-0.5483792213630578
Oil,US,4.8381031326341284e-05,1.3702328234480456,4.215046915117823e-05,0.9975379347366158,8.457586146960539e-05,1.972758581308391,0.6025257578603453
DXY,US,2.8765229928413555e-05,1.1402288466693307,4.744981340784934e-05,1.1132989742665917,9.889231861086199e-05,2.0140806300951306,0.8738517834257999
UST10Y,US,4.69625402225534e-05,1.3270809716195595,0.00012160641583128778,3.1836172524274784,6.5384058932837205e-06,0.14147624277999052,-1.185604728839569
VIX,EU,4.582364936849068e-05,1.2936028880252572,5.662183110984485e-05,1.3914469957325808,9.976033511231926e-05,1.694593972673267,0.4009910846480098
Gold,EU,0.00010955818945260311,2.1450737111873974,3.456118785210431e-05,0.9229800372696022,5.7994882414560205e-05,1.1945426271559112,-0.9505310840314862
Oil,EU,4.744309314266184e-05,1.32648723285667,6.291421489264933e-05,1.4600943073678676,9.178166919596464e-05,1.6123925345238028,0.2859053016671329
DXY,EU,9.975628384640086e-05,1.9344827237775482,5.185839658907588e-05,1.2791419497687173,5.0509335182683665e-05,1.110006917572356,-0.8244758062051922
UST10Y,EU,1.5333693000493477e-05,0.46844597629252166,7.116176158631375e-05,1.3673597994716422,0.00011563944843405891,2.2765454135736456,1.8080994372811239
VIX,India,4.828678797875533e-05,1.1828346664089486,4.52526024689464e-05,1.0415874276299446,0.00011986653323577698,1.901273792898198,0.7184391264892493
Gold,India,8.231936501851418e-05,1.871224172067517,0.00011902356879843018,1.8873476216975846,1.2067916359478664e-05,0.3010581128453121,-1.5701660592222049
Oil,India,7.087060189865356e-05,1.7780059995318505,5.326209270803873e-05,1.0976786814633908,8.940764353277407e-05,1.4900233920362715,-0.2879826074955789
DXY,India,9.517565446360169e-05,1.9841729189466712,5.8755995787238185e-05,1.3421560031709094,5.950950223096409e-05,1.0321763435643456,-0.9519965753823256
UST10Y,India,8.447053274754837e-05,1.7739809004929163,0.0001155761908052203,1.9445679370460347,1.3368507027711782e-05,0.32220049905351433,-1.451780401439402
