Factor,Region,Beta,T-Stat,P-Value,R-Squared,N
VIX,Brazil,-0.00016328449240882842,-0.7768145099409814,0.43726821482226985,0.0003166516487327353,2516
Gold,Brazil,-0.0019329753965261812,-1.194462502544822,0.23229710021853078,0.0006028630836423243,2516
Oil,Brazil,-0.0007129730995317935,-1.0615466086514127,0.288441563043346,0.0007751103821870275,2516
DXY,Brazil,0.0028305270369134747,0.791734583033698,0.4285154529882813,0.00027098299232108936,2516
UST10Y,Brazil,0.0016100612444300971,1.4917756073695523,0.13575798060005884,0.004590358126296823,2516
VIX,Chile,-0.0001711448032875895,-0.6197632565955352,0.5354136626391549,0.0003193711469019478,1923
Gold,Chile,0.0030434157853545148,1.1963292753720263,0.23156808872202317,0.0013924186059404153,1923
Oil,Chile,-0.00016924936103306928,-0.31665545519613575,0.7515050522053741,4.2702718055509514e-05,1923
DXY,Chile,-0.011727686688170572,-2.036887300437117,0.04166133705483352,0.0040207604445919864,1923
UST10Y,Chile,-0.0005371759011396671,-0.5744103559860787,0.5656901466749451,0.0005271827739067314,1923
VIX,Colombia,0.0005561916721508987,1.0661353376364577,0.2863624673610813,0.000724324192463599,2398
Gold,Colombia,0.0021775706876811314,0.3951991548764184,0.6926959163384028,0.00014597566891760838,2398
Oil,Colombia,-0.0005933444661692543,-0.451725810347764,0.6514665219537543,0.0001022023006436168,2398
DXY,Colombia,0.0010829137021743462,0.11758619767437889,0.9063955417296725,7.466920017296097e-06,2398
UST10Y,Colombia,0.0012432167546846515,0.6197335628231229,0.5354332151154361,0.0005434278307897555,2398
VIX,US,7.320728442526214e-05,0.3763173778228794,0.7066809615957703,8.556719239838362e-05,2637
Gold,US,-0.002751957567418329,-1.764838328298888,0.07759094096125892,0.0015820312158076888,2637
Oil,US,-0.0002201457351848858,-0.3178293309542386,0.7506144005474862,9.74610953362598e-05,2637
DXY,US,0.005308937481498212,1.4155802826972155,0.1568984275908908,0.001321648083623006,2637
UST10Y,US,0.0011586375897833115,1.5684993998967156,0.1167646299019159,0.003083105458003388,2637
VIX,EU,-7.249796826865072e-05,-0.4719792013258113,0.6369416342973631,5.488846730195007e-05,5318
Gold,EU,-0.0012263617000296968,-0.9771455857691788,0.32849708232763897,0.00033292805353646315,5318
Oil,EU,-0.0005008755865515976,-1.0307230264449077,0.30267072343999957,0.00030904077096804983,5318
DXY,EU,0.0013041602004296878,0.48619092056975133,0.6268318081307894,6.972045154596263e-05,5318
UST10Y,EU,-0.0003181549614443507,-0.7272830048677048,0.4670526070128339,0.00012960859995003737,5318
VIX,India,0.0003331027809658594,1.2180988294929362,0.22318641864613542,0.0011005630689224777,2362
Gold,India,0.0012464736288715912,0.5619414590764226,0.5741559052600236,0.00020115130329012576,2362
Oil,India,0.0006677076596819001,0.7492520713080847,0.45370528972839086,0.0005519027322260506,2362
DXY,India,-0.0014029299516821305,-0.25688162935848663,0.7972701524737925,5.256878802717413e-05,2362
UST10Y,India,0.0005932753575935309,0.9108811201007634,0.3623580144207925,0.0005279521499794715,2362
