,US,EU,Mexico,Chile,Brazil,India,China
0.0,1.1945781022257191,2.2890089723131983,1.5677890976428095,1.6821307001423709,1.7609158784572725,2.5075859207059232,2.067884742862545
0.025,0.8919991910747025,1.7119780125888415,1.5049878677703437,1.5920069095439475,1.6793869316911654,2.2129385948118863,1.9365288208384632
0.05,0.5843157383041019,1.1130331049659408,1.4412831792459395,1.4998866292721669,1.5960005469881535,1.9059628174269805,1.8010019460748392
0.075,0.2724530942595353,0.4967015214352668,1.3767199521829632,1.4058448296271906,1.51081960218572,1.58781116458756,1.661499081190623
0.1,-0.0425877010546652,-0.1316582322332799,1.3113464123201928,1.3099681123735167,1.4239171854320074,1.2599305460588082,1.5182588978577576
0.125,-0.3597442413285749,-0.7660527908246242,1.2452139521027172,1.2123546976452249,1.335376611963486,0.9240445917981128,1.3715636222378746
0.15,-0.6779095526678114,-1.4001201327694843,1.1783769623703075,1.113114259827276,1.245291314513777,0.5821191877337747,1.2217378138765425
0.175,-0.9959507953567782,-2.0274403454233685,1.110892635480977,1.0123676036468554,1.1537645997011825,0.2363118123463684,1.0691460133848327
0.2,-1.312729158098759,-2.641856658756396,1.042820741179411,0.9102461751390616,1.0609092654866807,-0.1110928438014314,0.9141892427345444
0.225,-1.6271201424710715,-3.2377699833621603,0.974223376997108,0.8068914060969058,0.9668470779583828,-0.4577567914321704,0.7573003971955837
0.25,-1.9380334008089697,-3.810375111317934,0.9051646954275,0.7024538949467914,0.8717081091838103,-0.8013667492754019,0.5989386260950722
0.275,-2.2444313177418307,-4.355817623714234,0.8357106105457998,0.5970924315553696,0.7756299415605499,-1.1397102485341175,0.4395828561591257
0.3,-2.545345611482542,-4.871264288138547,0.7659284871230756,0.4909728780798412,0.6787567478430795,-1.4707440989437328,0.2797246613907209
0.325,-2.839891366412976,-5.354892773124621,0.6958868156115474,0.3842669224268198,0.5812382596738009,-1.7926505007501716,0.1198607227032753
0.35,-3.1272780790235277,-5.805816105685241,0.6256548766380428,0.2771507249640766,0.4832286408317868,-2.1038776593694406,-0.0395148548305851
0.375,-3.4068174873838393,-6.223962203432637,0.5553023988312742,0.1698034826462345,0.3848852843797345,-2.4031635804191995,-0.1979180915786252
0.4,-3.677928142128021,-6.609929264200046,0.4848992139177831,0.0624059374756984,0.2863675552880464,-2.689543475657768,-0.3548822842247516
0.425,-3.9401368483893022,-6.964835009017137,0.4145149130509977,-0.0448611419071021,0.1878355018292118,-2.9623426394504775,-0.5099645188703168
0.45,-4.1930772508586065,-7.290173285316191,0.3442185082843758,-0.1518184758362355,0.0894485599792389,-3.221157611069371,-0.662751347712149
0.475,-4.436485940458529,-7.587686694216764,0.274078102966883,-0.2582897569275134,-0.0086357248119998,-3.4658288856542305,-0.8128634810421033
0.5,-4.67019652813564,-7.859259616411283,0.2041605746334556,-0.3641030727664965,-0.1062629348123297,-3.6964084349530135,-0.959959402117326
