,DM,DM,EM LatAm,EM LatAm,EM LatAm,EM Asia,EM Asia
,US,EU,Mexico,Chile,Brazil,India,China
sharpe,0.7350453055917632,1.1329053277994456,1.2823423129150304,1.2451126645848978,2.020099159613954,1.569573695771854,1.4341408975309422
cagr,0.0064835859157184,0.0066967038876208,0.0113514208752569,0.01072468961461,0.0255447545965137,0.0151315228214048,0.0119471495250713
volatility,0.0088455189737581,0.005906856504297,0.0088328009707684,0.0085974079966981,0.012525890214874,0.0095977760329909,0.0083053804137892
sortino,1.03623825170172,1.635331106645259,2.327728001504422,1.9850166532867584,3.4395635531216353,3.53098790461849,2.345776756983254
calmar,,,,,,,
skew,-0.9760326705033872,-0.5146041731362334,3.124556741781441,0.6096078721675761,1.6549810519144752,13.608697869887513,0.6615660787793005
kurtosis,13.473024940670774,9.4572992230712,35.390044626996875,15.014050383633556,25.250934690070384,408.1448815508187,6.715232330156155
max_drawdown,-0.020108110870038,-0.0261638415577541,-0.0229135000745102,-0.01557509790456,-0.017270090573967,-0.005754539052823,-0.0117449713333415
win_rate,0.5216572504708098,0.5393890675241158,0.5130315500685871,0.5187431091510474,0.5515855292541313,0.528714676390155,0.5133410672853829
daily_value_at_risk,-0.000890736618761,-0.0005854898789451,-0.0008702727295508,-0.0008483502294463,-0.001197472255423,-0.0009347041044651,-0.0008133044080852
breakeven,,,,,,,
